rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,SPERM,4.4395413262076134e-10,1.9195959419040176,41.33907422612306,"['TP53TG3B', 'TP53TG3C', 'PRSS1', 'TP53TG3D', 'TBC1D3B', 'TBC1D3E', 'NPIPB11', 'TBC1D3D', 'ANKRD20A1', 'CDC14C', 'DUX4', 'NPIPB15', 'TBC1D3H', 'GOLGA6L9', 'GOLGA6L6', 'POTEI', 'GOLGA6L10', 'POTEJ', 'GOLGA6L4', 'POTEE', 'POTEG', 'GGT2', 'GOLGA8R', 'ZNF705G', 'GOLGA8T', 'ZNF705D', 'GOLGA8K', 'SPDYE17', 'PSG3', 'GOLGA6L1', 'GOLGA8O', 'GOLGA8N', 'GOLGA8Q', 'ZC3H11B', 'PSG8', 'GOLGA8G', 'GOLGA8F', 'ANTXRL', 'GOLGA8H', 'PSG6', 'CTAGE9', 'FAM90A17P', 'CTAGE6', 'CYP2E1', 'CES1', 'CTAGE15', 'CLCNKA', 'CT45A5', 'AGAP4', 'KIR2DL4', 'HCAR2', 'PPIAL4G', 'LRRC37A3', 'SPATA31A6', 'SPATA31A7', 'TCP11X1', 'TCP11X2', 'ELOA2', 'OR4N2', 'TEX37', 'FAM90A1', 'GOLGA6A', 'GOLGA6C', 'GOLGA6L22', 'GOLGA6B', 'SPDYE2B', 'GOLGA6D', 'FAM187B', 'RAET1L', 'NXF2B', 'ANKRD18B', 'TP53TG3F', 'ANXA8L1', 'PRR23D1', 'PRR23D2', 'CYP4A22', 'FRG2C', 'ORM2', 'TMEM191C', 'GGTLC2', 'S100A7A', 'SPANXN1', 'PRB4', 'PRB1', 'PRB3', 'SPDYE1', 'NPIPA3', 'NPIPA2', 'RIMBP3C', 'TRIM64', 'NPIPA5', 'NBPF4', 'PACRG', 'AQP12B', 'AQP12A', 'NBPF6', 'SLC35G6', 'HSFX2', 'HSFX1', 'KRT34', 'ZDHHC11', 'CYP2A7', 'POM121L2', 'TBC1D3', 'CCDC74B', 'AGAP5', 'CCDC74A', 'FAM153B', 'FAM153A', 'SPATA31D3', 'SPACA5', 'NPIPB9', 'ADAM21', 'TPTE', 'RGPD8', 'RGPD4', 'RGPD3', 'TUBA3E', 'NXF2', 'TUBA3D', 'TRIM43', 'TRIM43B', 'CDK11A', 'POTEB3', 'LRRC27', 'DEFB108B', 'TBC1D3K', 'NPIPB4', 'NEK10', 'FCGR2B', 'NPIPB8', 'NPIPB7', 'NPIPB6']",4.794704632304223e-08,0,0
2,TESTIS (BULK TISSUE),0.008399921713327622,1.321569876059952,6.316486693050591,"['TP53TG3B', 'TP53TG3C', 'TP53TG3D', 'PAGE2', 'CLEC18C', 'CLEC18B', 'ANKRD20A1', 'CDC14C', 'CLEC18A', 'C4B', 'POTEH', 'GOLGA6L6', 'CYP2D6', 'POTEI', 'POTEJ', 'POTEE', 'MAGEA2', 'TEKT4', 'POTEG', 'SSX2', 'SSX3', 'POTEC', 'SSX1', 'GOLGA8S', 'NUTM2A', 'ZNF705G', 'PAGE2B', 'XAGE1B', 'GOLGA8K', 'XAGE1A', 'GOLGA8O', 'GOLGA8G', 'GOLGA8F', 'ANTXRL', 'GOLGA8H', 'CTAGE9', 'NUTM2G', 'CTAGE6', 'CYP2E1', 'NUTM2F', 'NUTM2D', 'NUTM2B', 'CT45A5', 'DTX2', 'MAGEA9B', 'CCDC144A', 'SYCE1', 'MYH11', 'SMIM10L2B', 'SMIM10L2A', 'SPATA31A6', 'TCP11X2', 'ELOA2', 'OR4N2', 'TEX37', 'GOLGA6A', 'GOLGA6C', 'GOLGA6B', 'GOLGA6D', 'FAM187B', 'NXF2B', 'CHRFAM7A', 'ANKRD18B', 'ANKRD18A', 'TP53TG3F', 'RHOXF2', 'SPANXN1', 'NBPF4', 'PACRG', 'NBPF6', 'SLC35G6', 'MST1', 'ZDHHC11', 'UPK3B', 'POM121L2', 'CCDC74B', 'CCDC74A', 'MMP23B', 'FAM153B', 'FAM153A', 'SPATA31D3', 'SPACA5', 'ADAM21', 'TPTE', 'RGPD4', 'RGPD3', 'TUBA3E', 'NXF2', 'TUBA3D', 'GPAT2', 'POTEB3', 'SSX2B', 'DPY19L2', 'SMOC1', 'GSTA2', 'GSTA1', 'NEK10', 'ERVV-1', 'NPIPB6']",0.41096274952419454,0,0
3,ALVEOLAR CELL TYPE II,0.011415631931227625,1.305296124813311,5.83829148992493,"['TP53TG3B', 'PCDH11Y', 'CLEC18C', 'AQP7', 'CDC14C', 'TUBB8', 'C4A', 'GOLGA6L6', 'POTEI', 'POTEG', 'SSX3', 'POTEC', 'GGT2', 'GOLGA8R', 'ZNF705G', 'AMY1A', 'UGT2B15', 'XAGE1B', 'GOLGA8K', 'PSG1', 'PSG3', 'PSG2', 'GOLGA6L1', 'PSG8', 'GPRIN2', 'GOLGA8G', 'CTAGE4', 'GOLGA8F', 'PSG4', 'PSG7', 'ANTXRL', 'PSG6', 'FAM90A17P', 'CYP2E1', 'NUTM2F', 'NUTM2B', 'CES1', 'TRIM64B', 'KIR2DL4', 'PRAMEF19', 'CNTNAP3B', 'GAGE2E', 'TRIM49D1', 'PPIAL4G', 'DRD5', 'ALG1L2', 'ARHGEF35', 'SPATA31A6', 'SPATA31A7', 'HSPA6', 'EIF2AK3', 'ELOA2', 'OR4N2', 'GOLGA6A', 'GOLGA6C', 'GOLGA6L22', 'GOLGA6D', 'NXF2B', 'ANXA8L1', 'PRR23D1', 'PRR23D2', 'CYP4A22', 'BICDL2', 'FRG2B', 'S100A7A', 'SPANXN1', 'PRB4', 'PRB1', 'RIMBP3C', 'ANXA8', 'SERPINB3', 'NBPF4', 'SERPINB4', 'TNFRSF12A', 'AQP12B', 'CYP4A11', 'CYP2A7', 'POM121L2', 'CYP2A6', 'FOXD4L5', 'SPATA31D3', 'FOXD4L3', 'TLR3', 'TRIM51', 'SFTPA2', 'TPTE', 'TRIM43', 'POTEB3', 'SYT15', 'KIR3DL3', 'DEFB108B', 'SCART1', 'SSX2B', 'KRT17', 'ERVV-2', 'ERVV-1', 'SFTPA1', 'HSPA1A']",0.41096274952419454,0,0
4,SPLEEN (BULK TISSUE),0.05700994003471155,1.2091157842956404,3.4635480020374034,"['OR2A1', 'PRSS1', 'TP53TG3D', 'NCF1', 'PLGLB2', 'PWWP2B', 'ANKRD20A1', 'C4B', 'PRB4', 'C4A', 'FCGR3A', 'FCGR3B', 'LRP5L', 'PRB3', 'FAM25G', 'SSX4', 'LGALS7', 'CD177', 'NUTM2A', 'NBPF4', 'RAB6C', 'ZNF705E', 'BTN1A1', 'NBPF6', 'PAGE2B', 'MST1', 'XAGE1B', 'XAGE1A', 'BTN3A3', 'CEL', 'ZNF75D', 'LGALS9C', 'LGALS9B', 'CTAGE4', 'CYP21A2', 'AGAP5', 'ANTXRL', 'FAM153B', 'FAM153A', 'XCL2', 'SPATA31D3', 'NUTM2G', 'CTAGE6', 'SPACA5', 'GRAPL', 'NUTM2D', 'INTS6L', 'SSX4B', 'NUTM2B', 'CES1', 'LILRA6', 'GYPB', 'GYPE', 'ADAM21', 'TPTE', 'KIR2DL1', 'KIR2DL3', 'KIR2DL4', 'RGPD3', 'HCAR2', 'TUBA3E', 'HCAR3', 'NXF2', 'TUBA3D', 'GAGE2E', 'S1PR1', 'PTK2B', 'MYH11', 'GPAT2', 'DEFA1B', 'FCGR1A', 'SULT1A4', 'FCGR1B', 'ALG1L2', 'LGALS7B', 'SMIM10L2A', 'SIGLEC14', 'BTN2A2', 'POTEB3', 'HSPA6', 'DEFA3', 'OR4N2', 'KIR3DL1', 'SPDYE6', 'KIR3DL2', 'DEFA1', 'LILRB2', 'KIR3DL3', 'SMOC1', 'NXF2B', 'GRAP', 'FCGR2B']",0.9999938521673628,0,0
5,MORULA,0.34765962396970457,1.0542178554501478,1.1138142349842923,"['TP53TG3B', 'TP53TG3C', 'TP53TG3D', 'RHOXF2', 'PRR23D1', 'PRR23D2', 'FOXI3', 'PAGE2', 'NBPF20', 'RHOXF2B', 'FRG2B', 'ANKRD20A1', 'FRG2C', 'CSAG1', 'NPIPB15', 'TUBB8', 'POTEI', 'PRB3', 'POTEE', 'MAGEA2', 'SSX4', 'POTEG', 'SSX5', 'SSX2', 'TRIM64', 'SSX3', 'ZNF443', 'SSX1', 'SPAG11B', 'ZNF705G', 'ZNF705D', 'ZNF705E', 'BTN1A1', 'NBPF6', 'AMY1B', 'PAGE2B', 'PSG2', 'CLPS', 'FRG2', 'FAM90A26', 'FAM90A17P', 'CYP2E1', 'GRAPL', 'FAM72D', 'RFPL4AL1', 'FAM72C', 'SSX4B', 'FAM72B', 'FAM72A', 'TRIM51', 'TRIM64B', 'NPIPB9', 'ASMT', 'CT45A5', 'TPTE', 'RGPD4', 'POMZP3', 'RGPD3', 'PRAMEF17', 'RFPL4A', 'TUBA3E', 'NXF2', 'SYCE1', 'TUBA3D', 'PRAMEF19', 'PRAMEF1', 'GAGE2E', 'TRIM49', 'TRIM49D2', 'TRIM49D1', 'SULT1A4', 'TRIM43', 'TRIM43B', 'TEX37', 'PGA3', 'SSX2B', 'SLC6A8', 'OCM', 'NXF2B', 'TP53TG3F', 'NPIPB7', 'NPIPB6']",0.9999938521673628,0,0
6,TRACHEA (BULK TISSUE),0.44072126690227004,1.0240229172097817,0.8390256518786674,"['TP53TG3B', 'OR2A1', 'TP53TG3C', 'ANXA8L1', 'TP53TG3D', 'PWWP2B', 'PAGE2', 'BICDL2', 'C4B', 'PRB4', 'C4A', 'PRB1', 'PRB3', 'FAM86B2', 'RIMBP3C', 'ANXA8', 'TEKT4', 'LGALS7', 'CD177', 'SERPINB3', 'NUTM2A', 'NBPF4', 'SERPINB4', 'TNFRSF12A', 'ZNF705E', 'SLC35G6', 'PAGE2B', 'MST1', 'PSG1', 'FAM86B1', 'PSG3', 'CEL', 'ALG10', 'C1QTNF9B', 'LGALS9B', 'MYOT', 'CCDC74B', 'PSG4', 'AGAP5', 'CCDC74A', 'PSG7', 'ANTXRL', 'FAM90A26', 'CTAGE6', 'NUTM2D', 'NUTM2B', 'S100A7', 'PRIM2', 'SFTPA2', 'ADAM21', 'TPTE', 'HCAR2', 'TUBA3E', 'NXF2', 'TUBA3D', 'EEF2KMT', 'GPAT2', 'CLCA4', 'ALG1L2', 'SMIM10L2B', 'LGALS7B', 'SMIM10L2A', 'ARHGEF35', 'POTEB3', 'EIF2AK3', 'ELOA2', 'OR4N2', 'SPDYE6', 'CYP4F12', 'FAM90A1', 'KRT17', 'KRT14', 'RAET1L', 'NEK10', 'NXF2B', 'SERHL2', 'ANKRD18B', 'ERVV-1', 'ANKRD18A', 'ULBP2']",0.9999938521673628,0,0
7,THYMUS (BULK TISSUE),0.7220249040885791,0.9349579784692358,0.3045117441704027,"['OR2A1', 'TP53TG3C', 'PRSS1', 'ANXA8L1', 'PLGLB1', 'PLGLB2', 'ANKRD20A1', 'CSAG1', 'C4B', 'PRB4', 'C4A', 'PRB1', 'PRB3', 'FAM25G', 'RIMBP3C', 'ANXA8', 'LGALS7', 'ZNF443', 'CD177', 'SERPINB3', 'NUTM2A', 'SERPINB4', 'ZNF705E', 'DDX11', 'PAGE2B', 'MST1', 'PRSS16', 'CEL', 'ZNF75D', 'ALG10', 'AGAP9', 'AGAP6', 'MYOT', 'AGAP5', 'ANTXRL', 'NUTM2G', 'NUTM2E', 'GRAPL', 'FOXD4L3', 'FAM72D', 'NUTM2D', 'FAM72C', 'INTS6L', 'FOXD4L1', 'FAM72B', 'NUTM2B', 'S100A7', 'FAM72A', 'PRIM2', 'NPIPB9', 'SFTPA2', 'TPTE', 'RGPD3', 'P2RY8', 'HCAR2', 'TUBA3E', 'TUBA3D', 'CST1', 'PTK2B', 'DEFA1B', 'TRIM43', 'TRIM43B', 'LGALS7B', 'HLA-DRB5', 'DEFA3', 'SPDYE6', 'PPP2R3B', 'DEFA1', 'CFC1', 'KRT17', 'KRT14', 'RLN1', 'ANKRD18A', 'GRAP']",0.9999938521673628,0,0
8,PERIPHERAL BLOOD,0.8621966102041007,0.8768214699095298,0.13000802760431815,"['OR2A1', 'NCF1', 'PLGLB2', 'PWWP2B', 'CLEC18C', 'AQP7', 'ORM2', 'FCGR3A', 'FCGR3B', 'LRP5L', 'CYP2D6', 'CD177', 'NUTM2A', 'BTN3A1', 'BTN1A1', 'PAGE2B', 'GOLGA8K', 'HSFX1', 'HLA-C', 'BTN3A3', 'ZNF75D', 'HLA-A', 'GOLGA8Q', 'LGALS9C', 'LGALS9B', 'OSCAR', 'DUSP22', 'MMP23B', 'ANTXRL', 'GOLGA8H', 'XCL2', 'NUTM2G', 'NUTM2E', 'GRAPL', 'NUTM2D', 'INTS6L', 'NUTM2B', 'CES1', 'LILRA6', 'TRIM51', 'TRIM64B', 'NPIPB9', 'GYPB', 'KIR2DL1', 'KIR2DL3', 'KIR2DL4', 'P2RY8', 'HCAR2', 'HCAR3', 'S1PR1', 'PTK2B', 'DEFA1B', 'TRIM49D2', 'FCGR1A', 'TRIM49D1', 'FCGR1B', 'SIGLEC14', 'BTN2A2', 'SLC10A1', 'HSPA6', 'DEFA3', 'KIR3DL1', 'SPDYE6', 'KIR3DL2', 'DEFA1', 'LILRB2', 'CYP4F12', 'OCM', 'GRAP', 'FCGR2B']",0.9999938521673628,0,0
9,NEUTROPHIL,0.9105170537514836,0.8481175020014141,0.07950478205985206,"['NCF1', 'PLGLB1', 'TBC1D3B', 'PLGLB2', 'CLEC18C', 'AQP7', 'CLEC18B', 'BICDL2', 'FRG2B', 'ORM2', 'DUX4', 'CLEC18A', 'B3GNTL1', 'NBPF26', 'FCGR3A', 'FCGR3B', 'LRP5L', 'CYP2D6', 'SPDYE1', 'CD177', 'BTN3A1', 'BTN1A1', 'HSFX1', 'HLA-C', 'BTN3A3', 'UPK3B', 'LGALS9C', 'LGALS9B', 'OSCAR', 'ZC3H11B', 'CYP2A7', 'CYP2A6', 'CYP21A2', 'ANTXRL', 'GOLGA8H', 'PSG6', 'NUTM2G', 'NUTM2D', 'NUTM2B', 'LILRA6', 'NPIPB9', 'ASMT', 'DTX2', 'AGAP4', 'P2RY8', 'HCAR2', 'HCAR3', 'CNTNAP3B', 'DEFA1B', 'FCGR1A', 'FCGR1B', 'SIGLEC14', 'SPATA31A7', 'BTN2A2', 'BTN2A1', 'SLC10A1', 'NDE1', 'HSPA6', 'DEFA3', 'SPDYE6', 'BTNL3', 'DEFA1', 'LILRB2', 'CYP4F12', 'TBC1D3K', 'GOLGA6D', 'OCM', 'FCGR2B']",0.9999938521673628,0,0
10,OOCYTE,0.9451742990268731,0.8196530278232406,0.04621689421950941,"['TP53TG3B', 'TP53TG3C', 'TP53TG3D', 'RHOXF2', 'PRR23D1', 'PRR23D2', 'FOXI3', 'CYP4A22', 'FRG2B', 'TUBB8', 'SPANXN1', 'FAM86B2', 'ZNF449', 'FAM25G', 'POTEG', 'LGALS7', 'ZNF443', 'GOLGA8T', 'ABCC6', 'CYP4A11', 'POM121L2', 'CLPS', 'GOLGA8G', 'GOLGA8F', 'MMP23B', 'GOLGA8H', 'NPY4R2', 'ACOT1', 'ZNF799', 'FAM72D', 'RFPL4AL1', 'FAM72C', 'FAM72B', 'FAM72A', 'NPY4R', 'ASMT', 'WNT8A', 'ADAM21', 'TPTE', 'DTX2', 'MAGEA9B', 'FAM149A', 'POMZP3', 'RFPL4A', 'TUBA3E', 'SYCE1', 'TUBA3D', 'GAGE2E', 'GPAT2', 'CCZ1B', 'POTEB3', 'CCZ1', 'TEX37', 'PGA3', 'GOLGA6A', 'GOLGA6C', 'GOLGA6B', 'GOLGA6D', 'OCM', 'NEK10', 'CHRFAM7A', 'SERHL2', 'RLN1', 'NPIPB8', 'TP53TG3F', 'MUC20']",0.9999938521673628,0,0
