rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,Salivarygland,0.12685408443635668,2.160980122795705,4.46181411311605,"['PRB4', 'CST1', 'PRB1', 'PRB3']",0.9999957224357003,0,0
2,Trachea,0.2267710632327331,1.6829822567957347,2.4972331433622528,"['SERPINB3', 'PRB4', 'PRB1', 'PRB3']",0.9999957224357003,0,0
3,TemporalLobe,0.32051727834765664,1.7862037037037037,2.03237667890702,"['SYT15', 'UPK3B']",0.9999957224357003,0,0
4,Pancreas,0.4095606239212141,1.2423929194392402,1.1090473133909409,"['PRSS1', 'CLPS', 'CEL', 'PRAMEF10']",0.9999957224357003,0,0
5,TestisSeminiferousTubule,0.4150461978430904,1.2986916644186675,1.1420245731957155,"['PACRG', 'SSX3', 'SSX1']",0.9999957224357003,0,0
6,TestisLeydigCell,0.49204375833518477,1.1090754338637314,0.7865425748164241,"['SPAG11B', 'TPTE', 'SSX3', 'SSX1']",0.9999957224357003,0,0
7,Tongue,0.54889036210297,1.0287137062768563,0.6170806672804507,"['MYOT', 'KRT14', 'PDE4DIP', 'S100A7']",0.9999957224357003,0,0
8,Leukemia chronicMyelogenousK-562,0.6086210397780977,0.95111441307578,0.4722848701355694,"['TOP3B', 'PDE4DIP', 'MAGEA6', 'MAGEA3']",0.9999957224357003,0,0
9,Leukemia promyelocytic-HL-60,0.6253483306414013,0.9512592592592592,0.4465652874919292,"['PDE4DIP', 'ATAD3A']",0.9999957224357003,0,0
10,Thymus,0.6752206615471286,0.8645117845117846,0.3395073813340715,"['PRSS16', 'CD99']",0.9999957224357003,0,0
11,Liver,0.6995376861569819,0.9026087044770666,0.3225342324370565,"['SLC10A1', 'UGT2B15', 'MST1', 'CYP4A22', 'CYP4A11', 'ASMTL', 'CYP4F12', 'FAM149A', 'CYP2A7', 'CYP2A6', 'CYP2B6', 'CYP2D6', 'DDT', 'SMOC1', 'ZBED1', 'ASL', 'CYP2E1', 'SSX5', 'CES1']",0.9999957224357003,0,0
12,Placenta,0.7213374088129221,0.8691958904895828,0.28392134067695834,"['PSG5', 'PSG4', 'PSG7', 'HSD17B1', 'PSG6', 'PSG1', 'PDE4DIP', 'PSG3', 'PSG11', 'PSG2', 'SEC22B', 'FCGR2B']",0.9999957224357003,0,0
13,Fetallung,0.7566653355977673,0.713128698224852,0.19884468168931008,['DEFB4A'],0.9999957224357003,0,0
14,Bonemarrow,0.8335401312788437,0.5589975635224504,0.10177860377751483,['CD177'],0.9999957224357003,0,0
15,Hypothalamus,0.8448511923428127,0.5997037037037037,0.10110690851543443,"['CALB2', 'ZDHHC11']",0.9999957224357003,0,0
16,AdrenalCortex,0.8781801567719867,0.5475498575498575,0.07112865192757795,"['PRIM2', 'CYP21A2']",0.9999957224357003,0,0
17,Adrenalgland,0.8937531500975068,0.4451507026627219,0.05000184665211466,['CYP21A2'],0.9999957224357003,0,0
18,FetalThyroid,0.8973612694197352,0.4382794720072827,0.04746424023196846,['TRIM43'],0.9999957224357003,0,0
19,TrigeminalGanglion,0.902161717592581,0.5922176820208024,0.060975613282851,"['CYP2B6', 'DGCR6L', 'ZFP37', 'ZNF443']",0.9999957224357003,0,0
20,Leukemialymphoblastic(MOLT-4),0.912381443282518,0.49060025542784164,0.04498663399508756,"['TMSB15A', 'DDX11']",0.9999957224357003,0,0
21,CD4+ Tcells,0.9164793168535653,0.7079442771084338,0.06174391196540134,"['CDK11A', 'POLR2J2', 'BTN3A1', 'BTN2A1', 'NDE1', 'BTN3A3', 'ZNF75D', 'BTN3A2', 'ALG10', 'CLK2', 'P2RY8', 'GRAP', 'GOLGA8A']",0.9999957224357003,0,0
