rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,Synovial sarcoma cell,0.00023216263682120333,19.13521545319465,160.12486851466184,"['SSX2B', 'SSX4', 'SSX4B', 'SSX1']",0.08255414122588846,0,0
2,Teratocyte,0.00035507157516511165,16.400764168966248,130.27440510568428,"['PLGLB1', 'DEFA3', 'DEFA1', 'DEFA1B']",0.08255414122588846,0,0
3,Saliva,0.0007111533016386327,4.609387144992526,33.41170754225713,"['C4B', 'PRB4', 'CST1', 'PRB1', 'AMY1A', 'AMY1B', 'AMY1C', 'CLCA4']",0.11022876175398806,0,0
4,ae3,0.0021944985902716953,4.284915846300413,26.23140507465051,"['CALB2', 'SSX2B', 'KRT17', 'KRT14', 'CD99', 'SSX1', 'OSCAR']",0.2551104611190846,0,0
5,Epidermis,0.004090576247949463,7.171991084695394,39.43927690408145,"['S100A7A', 'LGALS7B', 'KRT14', 'LGALS7']",0.2790333133500353,0,0
6,Natural killer cell line,0.004735913379728052,5.127285289115647,27.44420813486922,"['FCGR3A', 'FCGR3B', 'HLA-C', 'KIR2DL1', 'KIR2DL4']",0.2790333133500353,0,0
7,JEG-3 cell,0.004919549621692152,6.74975963639542,35.87185605599685,"['PSG5', 'HSD17B1', 'HLA-C', 'PSG3']",0.2790333133500353,0,0
8,Primary spermatocyte,0.0051984544269038655,10.746476261127597,56.51995194326996,"['POTEH', 'POTED', 'POTEG']",0.2790333133500353,0,0
9,Decidua,0.005400644774516812,4.950225779967159,25.84630165346769,"['FCGR3A', 'FCGR3B', 'HLA-C', 'LILRB2', 'KIR2DL4']",0.2790333133500353,0,0
10,Paneth cell,0.01068870448146545,19.081481481481482,86.60259649409569,"['DEFA3', 'DEFA1B']",0.4970247583881434,0,0
11,Sublingual gland,0.01567538852142869,14.31037037037037,59.469082484676214,"['AMY1A', 'AMY1C']",0.6626414238603946,0,0
12,Sinus node,0.021457393485098963,11.447703703703704,43.97848314657793,"['HCN3', 'SHOX']",0.7162772900370277,0,0
13,me180,0.021457393485098963,11.447703703703704,43.97848314657793,"['ANXA8L1', 'ANXA8']",0.7162772900370277,0,0
14,Dental plaque,0.021565337764555673,5.729376854599407,21.981716759935384,"['AMY1A', 'AMY1B', 'AMY1C']",0.7162772900370277,0,0
15,Pancreatic juice,0.024457675284328205,3.9542962545473177,14.67364680878607,"['PRSS1', 'CLPS', 'AMY2A', 'CEL']",0.7581879338141744,0,0
16,Bulbourethral gland,0.027975324367415493,9.539259259259259,34.11651617249868,"['LGALS7B', 'LGALS7']",0.7652074018146002,0,0
17,d17,0.027975324367415493,9.539259259259259,34.11651617249868,"['BTN2A1', 'CFC1']",0.7652074018146002,0,0
18,Chorionic villus,0.032622245448879664,4.773738872403561,16.339366509078626,"['CYP21A2', 'RHCE', 'RHD']",0.8245145987012893,0,0
19,Laryngeal squamous cell carcinoma cell,0.03517288563346047,8.176084656084656,27.369278128859893,"['PRR20E', 'PRR20A']",0.8245145987012893,0,0
20,Endosperm,0.03546299349252857,2.9266885325558794,9.77299023052581,"['AMY2A', 'AMY1A', 'AMY1B', 'AMY1C', 'ORM2']",0.8245145987012893,0,0
21,Hepa-RG cell,0.04134116105394399,4.295919881305638,13.686356714005912,"['CYP2B6', 'SLC10A1', 'CYP4A11']",0.9154114233373312,0,0
22,Meconium,0.051396373124504534,6.358518518518519,18.87327627116092,"['LGALS7B', 'LGALS7']",0.9522884211663094,0,0
23,Motor cortex,0.051396373124504534,6.358518518518519,18.87327627116092,"['SERF1A', 'GYPE']",0.9522884211663094,0,0
24,Skin epithelium,0.051396373124504534,6.358518518518519,18.87327627116092,"['KRT17', 'KRT14']",0.9522884211663094,0,0
25,Hematopoietic cell,0.060323964150136695,5.7223703703703706,16.06856385902581,"['CDK11A', 'CDK11B']",0.9522884211663094,0,0
26,Rosette,0.06086486921439276,2.8652303120356613,8.020063676260921,"['C4B', 'FCGR3B', 'FCGR1A', 'CD99']",0.9522884211663094,0,0
27,Amniocyte,0.06187976628068765,3.579191394658754,9.959322073814398,"['ASMTL', 'PPP2R3B', 'RHCE']",0.9522884211663094,0,0
