rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,SPERM,0.003719030108717748,1.7029451408722704,9.526773004967232,"['PRSS1', 'ANXA8L1', 'NPIPB9', 'CYP4A22', 'ADAM21', 'CLCNKA', 'NPIPB11', 'CT45A5', 'NPIPB15', 'KIR2DL4', 'TMEM191C', 'TUBA3E', 'GOLGA6L9', 'PRB1', 'TRIM43', 'NPIPA5', 'LRRC37A3', 'PACRG', 'CDK11A', 'AQP12A', 'LRRC27', 'ZDHHC11', 'GOLGA8N', 'FAM90A1', 'CYP2A7', 'SPDYE2B', 'CCDC74A', 'FAM153B', 'GOLGA8H', 'FAM187B', 'FAM153A', 'NXF2B', 'NPIPB4', 'ANKRD18B', 'CYP2E1', 'NPIPB6', 'CES1']",0.4016552517415168,0,0
2,SPLEEN (BULK TISSUE),0.029567731943133987,1.4803774657844788,5.212515125095524,"['LILRA6', 'PRSS1', 'NCF1', 'GYPE', 'PWWP2B', 'ADAM21', 'KIR2DL4', 'C4B', 'TUBA3E', 'HCAR3', 'FCGR3B', 'S1PR1', 'PTK2B', 'GPAT2', 'FCGR1B', 'CD177', 'SMIM10L2A', 'LGALS7B', 'RAB6C', 'BTN2A2', 'MST1', 'CEL', 'ZNF75D', 'LGALS9B', 'CYP21A2', 'SMOC1', 'FAM153B', 'FAM153A', 'NXF2B', 'XCL2', 'NUTM2G', 'GRAP', 'CES1']",0.9999941540126513,0,0
3,ESOPHAGUS (BULK TISSUE),0.04592963501949075,1.426465197735511,4.394432489834547,"['PRSS1', 'ANXA8L1', 'TPSB2', 'PWWP2B', 'CLEC18B', 'UPK3BL1', 'BICDL2', 'HCAR3', 'GOLGA6L9', 'CKMT1B', 'CLCA4', 'CD177', 'SMIM10L2B', 'SERPINB4', 'LGALS7B', 'ARHGEF35', 'CKMT1A', 'PRSS16', 'CEL', 'ZDHHC11', 'UPK3B', 'CYP4F12', 'LGALS9B', 'FAM90A1', 'GPRIN2', 'SLC6A8', 'KRT17', 'ANKRD18B', 'FAM90A26', 'NUTM2G', 'CYP2E1', 'S100A7']",0.9999941540126513,0,0
4,BASAL CELL,0.06912428399113196,1.3732206777045572,3.6690385380704593,"['ANXA8L1', 'PWWP2B', 'ADAM21', 'BICDL2', 'HCAR3', 'CKMT1B', 'CLCA4', 'NOMO1', 'SMIM10L2A', 'SERPINB4', 'LGALS7B', 'ARHGEF35', 'TNFRSF12A', 'CKMT1A', 'MST1', 'PRSS16', 'CEL', 'ZDHHC11', 'UPK3B', 'CYP4F12', 'LGALS9B', 'GPRIN2', 'FOXD4L5', 'SLC6A8', 'KRT17', 'CCDC74A', 'ANKRD18B', 'NUTM2G', 'FKBP9', 'FOXD4L1', 'S100A7']",0.9999941540126513,0,0
5,GASTRIC EPITHELIAL CELL,0.06912428399113196,1.3732206777045572,3.6690385380704593,"['HCN3', 'PRSS1', 'ANXA8L1', 'NPIPB9', 'PWWP2B', 'ADAM21', 'BICDL2', 'FAM149A', 'RFPL4A', 'CKMT1B', 'TRIM43', 'SMIM10L2B', 'LIMS4', 'SMIM10L2A', 'PACRG', 'ARHGEF35', 'TNFRSF12A', 'CKMT1A', 'PRSS16', 'CEL', 'ZDHHC11', 'UPK3B', 'CYP4F12', 'LGALS9B', 'FAM90A1', 'GPRIN2', 'CYP2A6', 'KRT17', 'GSTA1', 'NUTM2G', 'CYP2E1']",0.9999941540126513,0,0
6,LIVER (BULK TISSUE),0.06912428399113196,1.3732206777045572,3.6690385380704593,"['ANXA8L1', 'PLGLB1', 'CYP4A22', 'AQP7', 'NPIPB11', 'NPIPB15', 'FAM149A', 'C4B', 'RFPL4A', 'DDT', 'CNTNAP3B', 'LIMS4', 'UGT2B10', 'PACRG', 'TNFRSF12A', 'MST1', 'CYP4A11', 'NBPF12', 'TVP23B', 'CYP4F12', 'CYP2A7', 'AGAP9', 'CYP2A6', 'NBPF19', 'FOLH1', 'CYP21A2', 'SMOC1', 'GSTA1', 'CYP2E1', 'FKBP9', 'CES1']",0.9999941540126513,0,0
7,HEPATOCYTE,0.10077878242714558,1.3206323347512596,3.030623316366894,"['HCN3', 'TRIM74', 'PLGLB1', 'PWWP2B', 'CYP4A22', 'AQP7', 'CLCNKA', 'CSAG1', 'NPIPB15', 'FAM149A', 'C4B', 'RFPL4A', 'DDT', 'UGT2B10', 'ARHGEF35', 'TNFRSF12A', 'MST1', 'CYP4A11', 'ZDHHC11', 'CYP4F12', 'CYP2A7', 'CYP2A6', 'FOLH1', 'CYP21A2', 'MMP23B', 'SMOC1', 'GSTA1', 'ACOT2', 'CYP2E1', 'CES1']",0.9999941540126513,0,0
8,ILEUM (BULK),0.10077878242714558,1.3206323347512596,3.030623316366894,"['PRSS1', 'TPSB2', 'NCF1', 'AQP7', 'BICDL2', 'KIR2DL4', 'C4B', 'FAM156B', 'HCAR3', 'FCGR3B', 'CKMT1B', 'CLCA4', 'CD177', 'ARHGEF35', 'BTN3A1', 'AQP12A', 'CKMT1A', 'MST1', 'PRSS16', 'BTNL3', 'CEL', 'CYP4F12', 'LGALS9B', 'GPRIN2', 'SLC6A8', 'FOLH1', 'MMP23B', 'GSTA1', 'XCL2', 'GRAP']",0.9999941540126513,0,0
9,TESTIS (BULK TISSUE),0.14232571810136005,1.2686888625148354,2.473482822260128,"['ADAM21', 'CLEC18B', 'CT45A5', 'C4B', 'TUBA3E', 'SYCE1', 'GPAT2', 'SSX1', 'SMIM10L2B', 'SMIM10L2A', 'PACRG', 'MST1', 'ZDHHC11', 'UPK3B', 'DPY19L2', 'MMP23B', 'SMOC1', 'CCDC74A', 'FAM153B', 'GOLGA8H', 'GSTA1', 'FAM187B', 'FAM153A', 'NXF2B', 'ANKRD18B', 'NUTM2G', 'ERVV-1', 'CYP2E1', 'NPIPB6']",0.9999941540126513,0,0
10,TRACHEA (BULK TISSUE),0.14232571810136005,1.2686888625148354,2.473482822260128,"['ANXA8L1', 'PWWP2B', 'ADAM21', 'BICDL2', 'C4B', 'TUBA3E', 'PRB1', 'EEF2KMT', 'GPAT2', 'CLCA4', 'CD177', 'SMIM10L2B', 'SMIM10L2A', 'SERPINB4', 'LGALS7B', 'ARHGEF35', 'TNFRSF12A', 'MST1', 'CEL', 'CYP4F12', 'LGALS9B', 'FAM90A1', 'KRT17', 'CCDC74A', 'NXF2B', 'ANKRD18B', 'FAM90A26', 'ERVV-1', 'S100A7']",0.9999941540126513,0,0
