rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,"Pons, motor related",0.035182051780492066,2.3570219966159054,7.889469326719006,"['NCF1', 'MSTO1', 'DDT', 'LRRC27', 'OCM', 'RABL2A', 'HSD17B7']",0.9686277833959773,0,0
2,"Pyramus (VIII), granular layer",0.035182051780492066,2.3570219966159054,7.889469326719006,"['RASA4', 'ACOT2', 'S1PR1', 'OR4K1', 'ZNF799', 'FAM149A', 'CLCA4']",0.9686277833959773,0,0
3,Uvula (IX),0.08856648701453476,2.0031843862352336,4.855722444437857,"['RASA4', 'ACOT2', 'S1PR1', 'OR4K1', 'ZNF799', 'CLCA4']",0.9686277833959773,0,0
4,"Uvula (IX), granular layer",0.08856648701453476,2.0031843862352336,4.855722444437857,"['RASA4', 'ACOT2', 'S1PR1', 'OR4K1', 'ZNF799', 'CLCA4']",0.9686277833959773,0,0
5,"Uvula (IX), molecular layer",0.08856648701453476,2.0031843862352336,4.855722444437857,"['RASA4', 'ACOT2', 'S1PR1', 'OR4K1', 'ZNF799', 'CLCA4']",0.9686277833959773,0,0
6,intermediate stratum of PO2,0.08856648701453476,2.0031843862352336,4.855722444437857,"['MZT2A', 'OCM', 'AQP7', 'SYT15', 'ZDHHC11', 'GPAT2']",0.9686277833959773,0,0
7,intermediate stratum of r4BM,0.08856648701453476,2.0031843862352336,4.855722444437857,"['SLC6A8', 'MSTO1', 'DDT', 'LRRC27', 'OCM', 'RABL2A']",0.9686277833959773,0,0
8,"lateral preoptic nucleus, PO2 part",0.08856648701453476,2.0031843862352336,4.855722444437857,"['MZT2A', 'OCM', 'AQP7', 'SYT15', 'ZDHHC11', 'GPAT2']",0.9686277833959773,0,0
9,liminal part of r3 alar plate,0.08856648701453476,2.0031843862352336,4.855722444437857,"['DUSP22', 'PACRG', 'NCF1', 'PMS2', 'SYT15', 'GRAP']",0.9686277833959773,0,0
10,mantle zone of r3Lim,0.08856648701453476,2.0031843862352336,4.855722444437857,"['DUSP22', 'PACRG', 'NCF1', 'PMS2', 'SYT15', 'GRAP']",0.9686277833959773,0,0
11,"substantia nigra reticulata, isthmic part",0.08856648701453476,2.0031843862352336,4.855722444437857,"['DPY19L2', 'BTN2A2', 'MST1', 'CYP2E1', 'GPAT2', 'UPK3B']",0.9686277833959773,0,0
12,superficial stratum of isBI,0.08856648701453476,2.0031843862352336,4.855722444437857,"['DPY19L2', 'BTN2A2', 'MST1', 'CYP2E1', 'GPAT2', 'UPK3B']",0.9686277833959773,0,0
13,"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",0.19460868797678738,1.655235637647698,2.709230872770241,"['MZT2A', 'OCM', 'FBXO22', 'LGALS9B', 'DRD5']",0.9686277833959773,0,0
14,Central linear nucleus raphe,0.19460868797678738,1.655235637647698,2.709230872770241,"['DUSP22', 'NCF1', 'MMP23B', 'NDE1', 'NDUFA3']",0.9686277833959773,0,0
15,Folium-tuber vermis (VII),0.19460868797678738,1.655235637647698,2.709230872770241,"['CALB2', 'ACOT2', 'S1PR1', 'ZNF799', 'CLCA4']",0.9686277833959773,0,0
16,"Folium-tuber vermis (VII), granular layer",0.19460868797678738,1.655235637647698,2.709230872770241,"['CALB2', 'ACOT2', 'S1PR1', 'ZNF799', 'CLCA4']",0.9686277833959773,0,0
17,"Folium-tuber vermis (VII), molecular layer",0.19460868797678738,1.655235637647698,2.709230872770241,"['CALB2', 'ACOT2', 'S1PR1', 'ZNF799', 'CLCA4']",0.9686277833959773,0,0
