rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,TemporalLobe,0.04691890447308999,6.11509900990099,18.708134009682176,"['SYT15', 'UPK3B']",0.9999251033859659,0,0
2,Liver,0.052652005010085094,1.8017686575445366,5.304498744616313,"['CYP2A7', 'CYP2A6', 'DDT', 'SMOC1', 'MST1', 'CYP4A11', 'CYP4A22', 'CYP2E1', 'CYP4F12', 'FAM149A', 'CES1']",0.9999251033859659,0,0
3,Pancreas,0.0751240335107937,3.1620927619964694,8.185439968652888,"['PRSS1', 'CEL', 'PRAMEF10']",0.9999251033859659,0,0
4,TestisSeminiferousTubule,0.15640667859273272,2.9154721442293483,5.409063077799617,"['PACRG', 'SSX1']",0.9999251033859659,0,0
5,Hypothalamus,0.2602982738390255,2.0532569046378324,2.763534107995956,"['CALB2', 'ZDHHC11']",0.9999251033859659,0,0
6,CD4+ Tcells,0.30234479652505675,1.30175059350331,1.5571374008149743,"['CDK11A', 'BTN3A1', 'NDE1', 'GRAP', 'ZNF75D', 'GOLGA8A', 'CLK2']",0.9999251033859659,0,0
7,Tongue,0.32808283331044463,1.7246122842372733,1.9220616992626884,"['PDE4DIP', 'S100A7']",0.9999251033859659,0,0
8,Leukemia chronicMyelogenousK-562,0.3614229254253939,1.5966563869501704,1.624927531838302,"['TOP3B', 'PDE4DIP']",0.9999251033859659,0,0
9,Bonemarrow,0.4136315597305962,1.9071766637689558,1.6836167548650114,['CD177'],0.9999251033859659,0,0
10,Salivarygland,0.4430101308617841,1.7364532019704433,1.4137553239097946,['PRB1'],0.9999251033859659,0,0
11,Prostate,0.4679058348034798,1.1861424584395097,0.9008612137446567,"['FOLH1', 'PDXDC1', 'CD177']",0.9999251033859659,0,0
12,Leukemia promyelocytic-HL-60,0.47092361025188306,1.5937171929257854,1.2001636882459743,['PDE4DIP'],0.9999251033859659,0,0
13,Adrenalgland,0.48699885741626325,1.5187807881773399,1.0927529081625569,['CYP21A2'],0.9999251033859659,0,0
