rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,Caudatenucleus,0.3292604109405051,1.508498362700764,1.6758003628579086,"['PDE1B', 'HTR2C', 'MPPE1']",0.9999960262244628,0,0
2,Thalamus,0.4092364372068978,1.3093346573982125,1.1698410286237089,"['PCP4', 'BRD7P3', 'GNG13']",0.9999960262244628,0,0
3,MedullaOblongata,0.43179653409516533,1.8419753086419752,1.5468923148959142,['ALK'],0.9999960262244628,0,0
4,GlobusPallidus,0.5192616805384166,1.1630016822879115,0.7621700373412149,"['ANKRD24', 'LAMA1']",0.9999960262244628,0,0
5,ParietalLobe,0.5386842965335702,1.3257435897435896,0.8201389241702678,['GPRC5B'],0.9999960262244628,0,0
6,OlfactoryBulb,0.7036103308339289,0.817393877896161,0.2873389467676955,"['CRB2', 'BMP4']",0.9999960262244628,0,0
7,Ovary,0.7049134782258062,0.8279487179487179,0.2895172812487003,['ANKS4B'],0.9999960262244628,0,0
8,Hypothalamus,0.7812471460062747,0.6964311463590483,0.17192359120973952,"['CALB2', 'NTSR2']",0.9999960262244628,0,0
9,UterusCorpus,0.7860459117177901,0.6891409817351598,0.16590385259614754,"['WNT11', 'PAMR1']",0.9999960262244628,0,0
10,Kidney,0.7898482335505946,0.7135629403852561,0.16833981676032436,"['GALNT14', 'SLITRK1', 'DEFB1']",0.9999960262244628,0,0
11,Salivarygland,0.8168523641056457,0.5909035409035409,0.11953795767940015,['DEFB1'],0.9999960262244628,0,0
12,Spinalcord,0.8171123730685037,0.6420734140178215,0.1296851213930261,"['ACSBG1', 'PCSK6']",0.9999960262244628,0,0
13,AdrenalCortex,0.8212054694521573,0.6358667017913593,0.12525425239430485,"['CRB2', 'ETV5']",0.9999960262244628,0,0
14,Cerebellum,0.8291460081261808,0.6238046006720083,0.11687541475497863,"['ZP2', 'GNG13']",0.9999960262244628,0,0
15,TrigeminalGanglion,0.829787163682655,0.6880727376861397,0.1283847676135448,"['PROP1', 'PCSK6', 'PRPH', 'GALNT8']",0.9999960262244628,0,0
16,Skin,0.8404620924531797,0.6065414100791756,0.10541897649984033,"['BMP4', 'ADAMTSL1']",0.9999960262244628,0,0
17,FetalThyroid,0.859974590672159,0.5088494411571335,0.07676117770547468,['ADAMTSL1'],0.9999960262244628,0,0
18,DorsalRootGanglion,0.8719645430630502,0.4863247863247863,0.06662966536035446,['PRPH'],0.9999960262244628,0,0
19,TestisSeminiferousTubule,0.8719645430630502,0.4863247863247863,0.06662966536035446,['TDRD9'],0.9999960262244628,0,0
20,Fetalliver,0.8874634786811384,0.5327551922227132,0.0636045285474645,"['COL27A1', 'LAMA1']",0.9999960262244628,0,0
21,SubthalamicNucleus,0.8991605189498623,0.4349527665317139,0.04623274221530683,['LAMA1'],0.9999960262244628,0,0
22,CardiacMyocytes,0.9052202919373632,0.6148046343155137,0.06122036934598145,"['COL5A1', 'GRIK1', 'DNAH9', 'HLA-DOA', 'ADRA1A']",0.9999960262244628,0,0
23,Fetalbrain,0.9174566357307739,0.6192303534753,0.05334667246086851,"['GRIA1', 'MN1', 'GRM7', 'CNR1', 'NCAN', 'DCX']",0.9999960262244628,0,0
24,Pituitary,0.9181800547089551,0.3981258366800535,0.033984725929355954,['GNRHR'],0.9999960262244628,0,0
25,Wholebrain,0.9241345590647304,0.5585066107519366,0.04406482628528302,"['NELL1', 'CDH24', 'TMEM160', 'CACNG3']",0.9999960262244628,0,0
