rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,Pons,0.2184737300610374,2.3858024691358026,3.629019085420813,"['NCOR2', 'DLEC1']",0.9999956194728857,0,0
2,Leukemia chronicMyelogenousK-562,0.37710053923874154,1.252752263696176,1.221738433073761,"['ACSM3', 'PSMD5', 'GADD45A', 'HOXB2', 'GNB1L']",0.9999956194728857,0,0
3,Bonemarrow,0.5074684131666667,1.191358024691358,0.80812294039069,"['SRGN', 'ADIPOR1']",0.9999956194728857,0,0
4,Tonsil,0.5766604765933498,1.1910631741140216,0.6556822002583986,['GBP6'],0.9999956194728857,0,0
5,Leukemia promyelocytic-HL-60,0.6029586852749318,0.9922839506172839,0.5020029995929756,"['POLR1C', 'LETMD1']",0.9999956194728857,0,0
6,Uterus,0.6404332521502776,0.9151935021500239,0.40781971985106413,"['ACTA2', 'SOX17', 'TPM2', 'RNPS1', 'CDH26', 'PDZRN3']",0.9999956194728857,0,0
7,Thymus,0.6531952393195052,0.9017957351290684,0.38405605179131164,"['DDX23', 'HIPK1']",0.9999956194728857,0,0
8,TemporalLobe,0.6751187852971879,0.9019470514077602,0.3543448943525074,['TDP1'],0.9999956194728857,0,0
9,OccipitalLobe,0.6856953609694619,0.8753738783649053,0.3302976738138368,['LRRC56'],0.9999956194728857,0,0
10,Prostate,0.7034772134170034,0.859581250080331,0.3023317395702702,"['KDM4B', 'NXN', 'IDH1', 'GOSR1', 'KLK3', 'ALOX15B', 'CORO1B']",0.9999956194728857,0,0
11,CD71+ EarlyErythroid,0.7183590673159623,0.8841266764182366,0.2924564979598164,"['PHLPP2', 'CENPT', 'USP14', 'MTMR12', 'GADD45A', 'SLC43A1', 'MBOAT2', 'ADIPOR1', 'ELL2', 'SLC25A38', 'DPM2', 'CENPF', 'ASCC2', 'SEC62', 'TRIM10', 'ASF1A']",0.9999956194728857,0,0
12,Thalamus,0.7319666150302641,0.7725268558601892,0.24104411844654453,"['MRPL41', 'OPRD1']",0.9999956194728857,0,0
13,PancreaticIslet,0.7672522334924784,0.7430448222565688,0.19686205331070217,"['GP2', 'HNF1B', 'ELL2']",0.9999956194728857,0,0
14,Pancreas,0.8235590047887676,0.6322563698450223,0.12273365753754473,"['AQP8', 'GP2']",0.9999956194728857,0,0
15,Hypothalamus,0.8279554386445159,0.6255685510071475,0.1181048051912301,"['INPP5F', 'ZDHHC11']",0.9999956194728857,0,0
16,CD33+ Myeloid,0.8431897227550982,0.8052672398935253,0.1373490294858223,"['ITSN2', 'SRGN', 'PPP1R15B', 'MTMR12', 'SLC11A1', 'SNX13', 'DNAJC13', 'HIPK1', 'SAMHD1', 'TMEM164', 'CORO1B', 'SIN3B', 'IMPDH1', 'FTH1', 'GRK6', 'DOCK2', 'VAMP3', 'IL13RA1']",0.9999956194728857,0,0
17,Adrenalgland,0.8836415839864779,0.46432010785824346,0.057438136935850405,['CYP17A1'],0.9999956194728857,0,0
18,FetalThyroid,0.8874355034837521,0.45715301647505036,0.05459295374936274,['RING1'],0.9999956194728857,0,0
19,Tongue,0.8918522539189876,0.525428821151535,0.06013784787591783,"['GBP6', 'TGM3']",0.9999956194728857,0,0
20,Caudatenucleus,0.8980920695115979,0.43691652315779933,0.04696096262012547,['RIC8B'],0.9999956194728857,0,0
21,Heart,0.9260181138198242,0.655133988610776,0.0503545700375908,"['MRPL41', 'NDUFB9', 'PPP1R13L', 'TSPAN9', 'MIER2', 'VEGFB', 'NDUFS3', 'SCRIB', 'SRL']",0.9999956194728857,0,0
22,Lung,0.9262903922661287,0.6059716363173849,0.04639773019640832,"['NCOR2', 'FZD2', 'SOX17', 'NXN', 'MIER2', 'SLCO2A1']",0.9999956194728857,0,0
23,CD14+ Monocytes,0.9333468059051402,0.6305295950155764,0.04349294575269928,"['FZD2', 'SIN3B', 'IMPDH1', 'SLC11A1', 'IFI30', 'CORO1B', 'VAMP3', 'IL13RA1']",0.9999956194728857,0,0
24,OlfactoryBulb,0.9359450676002496,0.3620579503175617,0.02396769057674816,['SGCB'],0.9999956194728857,0,0
25,Pituitary,0.9380354612203842,0.35767724209627416,0.02287972812298573,['ARL1'],0.9999956194728857,0,0
26,CerebellumPeduncles,0.9399880747863747,0.43930041152263377,0.027187463491467712,"['NCOR2', 'BICD1']",0.9999956194728857,0,0
27,Lymphoma burkitts(Daudi),0.9431723620951619,0.4328422096061999,0.025323966934714753,"['RDM1', 'POU2AF1']",0.9999956194728857,0,0
28,TrigeminalGanglion,0.9558242910179775,0.46024297074580967,0.020794319966328786,"['ITSN2', 'EPB41L4A', 'ARL6']",0.9999956194728857,0,0
29,UterusCorpus,0.9610652594752176,0.3058313344876336,0.01214546890956701,['KLHL29'],0.9999956194728857,0,0
30,Spinalcord,0.9691409667043261,0.2851428232784165,0.00893785916554095,['PC'],0.9999956194728857,0,0
31,AdrenalCortex,0.9701491034031544,0.2824125027514858,0.008558653358591926,['CYP17A1'],0.9999956194728857,0,0
32,Thyroid,0.9706777507171926,0.5420090373617761,0.016130589708365783,"['ITSN2', 'KDM4B', 'LATS2', 'SLC20A2', 'HSPA5', 'MRPL38', 'VEGFB']",0.9999956194728857,0,0
