symbol,group,top_tissue,top_tissue_tpm,brain_mean,nonbrain_mean,log2fc_brain_vs_nonbrain,tau
PLP1,POS,Brain_Spinal_cord_cervical_c-1,7602.85,9.301872383609808,2.435999490433459,6.865872893176349,0.9821887420771808
SNCA,POS,Brain_Cerebellar_Hemisphere,61.8832,4.830474743414355,1.578796827241874,3.251677916172481,0.870872083190712
NCAM2,POS,Brain_Frontal_Cortex_BA9,18.9502,3.5264063325974817,0.7930677361911282,2.733338596406353,0.8505092357549253
RAB39B,POS,Brain_Cerebellar_Hemisphere,23.339,3.4924321768193805,0.883765910899178,2.6086662659202027,0.8761639600745149
SEMA6B,POS,Brain_Cortex,86.3884,5.575898148173811,2.990026099744449,2.585872048429362,0.8007248017405875
SOX9,POS,Minor_Salivary_Gland,111.504,5.04179343164282,2.981977030366705,2.0598164012761155,0.8534654901611187
KCNJ6,POS,Pancreas_Islets,8.4848,1.6405257622558636,0.1393481480073345,1.5011776142485291,0.9222163355858836
ARHGAP36,POS,Pituitary,298.716,1.687444514974249,0.2527326631622418,1.4347118518120072,0.9957536282902762
SYNJ1,POS,Brain_Cerebellar_Hemisphere,38.0248,4.077609629745071,2.810830257413357,1.266779372331714,0.7769848946971608
SHANK3,POS,Brain_Cerebellum,147.384,4.926738683315621,3.6695206362276767,1.2572180470879446,0.8597294903717855
YWHAE,POS,Brain_Spinal_cord_cervical_c-1,636.315,8.996617472648015,7.789282113457261,1.207335359190754,0.5495999200621207
PDXK,POS,Testis,126.604,5.306793402521665,4.356829379225873,0.9499640232957915,0.8059643643807438
APP,POS,Brain_Frontal_Cortex_BA9,548.194,8.340069270561289,7.397563938645487,0.942505331915802,0.5828194060725533
KCTD13,POS,Testis,58.1771,4.220933236994198,3.309052690454718,0.91188054653948,0.8051500414701306
GPR101,POS,Brain_Nucleus_accumbens_basal_ganglia,15.0012,0.8557498877896729,0.0023014588633864,0.8534484289262864,0.9896625289877308
RCAN1,POS,Brain_Spinal_cord_cervical_c-1,71.2835,4.8474542868161015,4.086680478855829,0.7607738079602724,0.7171054007704575
SH3BGR,POS,Muscle_Skeletal,335.9,4.434819680354483,3.727652808795279,0.7071668715592043,0.9387483901125512
