,coefficient
brain_is_top,-2.2827332863201417
brain_cerebellum,-0.9328986049654688
brain_mean,0.49052086876758466
skew,0.45923082730237574
n_obs,0.4553678303591858
maxheight,-0.3771924271473761
log2fc_brain_vs_nonbrain,0.35562756698469594
nonbrain_max,0.33475428942386304
kurt,-0.2933764046194714
min,0.2849123953263061
w_x0,0.2804778623513686
std,-0.2774482190556857
nonbrain_mean,0.26557669461910605
cv,0.2503820976160843
truncationindex,-0.22458569442049856
tau,-0.19153317254094007
brain_max,0.1344506345585452
mean,0.13028843725626094
A,-0.12646185594124668
x0,0.07250335800965628
ti_fourparam_sigma_dist,-0.06592319795125169
max,0.04446384776792796
y0,0.02340525346121372
rightheight,0.014738215925645242
