rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,BRAIN (BULK),0.0055165802078415965,2.271175523349436,11.810106221868162,"['SEMA6B', 'BHLHA9', 'APP', 'RAB39B', 'LBX1', 'ARHGAP36', 'PTHLH', 'SYNJ1', 'MB', 'PMP22', 'PLP1', 'HYDIN2', 'NCAM2', 'GPR101', 'SHANK3', 'SNCA']",0.5902740822390509,0,0
2,MELANOCYTE,0.02815643948171435,1.9144222415291052,6.834447571834904,"['IRX1', 'COL18A1', 'IRX6', 'TRAPPC10', 'RAI1', 'RCAN1', 'EVA1C', 'PMP22', 'PLP1', 'ABL1', 'FLNA', 'NCAM2', 'SHANK3', 'SNCA']",0.6749390009446269,0,0
3,VENTRICLE,0.02815643948171435,1.9144222415291052,6.834447571834904,"['DSP', 'APP', 'COL18A1', 'IRX6', 'USP28', 'MB', 'EVA1C', 'PMP22', 'ABL1', 'FLNA', 'HYDIN2', 'PRKACA', 'SHANK3', 'SH3BGR']",0.6749390009446269,0,0
4,ASTROCYTE,0.05677057017291254,1.7456330796596353,5.007762585097332,"['IRX1', 'APP', 'COL18A1', 'GDF6', 'ARHGAP36', 'PTHLH', 'RAI1', 'RCAN1', 'EVA1C', 'PMP22', 'ABL1', 'FLNA', 'NCAM2']",0.6749390009446269,0,0
5,ATRIUM,0.05677057017291254,1.7456330796596353,5.007762585097332,"['DSP', 'COL18A1', 'GDF6', 'RAI1', 'MB', 'EVA1C', 'PMP22', 'PLP1', 'HYDIN2', 'NCAM2', 'PRKACA', 'SHANK3', 'SH3BGR']",0.6749390009446269,0,0
6,BREAST (BULK TISSUE),0.05677057017291254,1.7456330796596353,5.007762585097332,"['DSP', 'IRX1', 'COL18A1', 'IRX6', 'AXIN1', 'ARHGAP36', 'PTHLH', 'RAI1', 'EVA1C', 'ABL1', 'FLNA', 'HYDIN2', 'SHANK3']",0.6749390009446269,0,0
7,SPINAL CORD,0.05677057017291254,1.7456330796596353,5.007762585097332,"['BHLHA9', 'IRX1', 'COL18A1', 'IRX6', 'RAB39B', 'PRDM13', 'LBX1', 'ARHGAP36', 'RAI1', 'PLP1', 'HYDIN2', 'NCAM2', 'SHANK3']",0.6749390009446269,0,0
8,SPINAL CORD (BULK),0.05677057017291254,1.7456330796596353,5.007762585097332,"['BHLHA9', 'IRX1', 'COL18A1', 'IRX6', 'RAB39B', 'PRDM13', 'LBX1', 'ARHGAP36', 'RAI1', 'PLP1', 'HYDIN2', 'NCAM2', 'SHANK3']",0.6749390009446269,0,0
9,SUPERIOR FRONTAL GYRUS,0.05677057017291254,1.7456330796596353,5.007762585097332,"['SEMA6B', 'BHLHA9', 'RAB39B', 'ARHGAP36', 'PTHLH', 'MB', 'PLP1', 'KCTD13', 'HYDIN2', 'NCAM2', 'SHANK3', 'SH3BGR', 'SNCA']",0.6749390009446269,0,0
10,GRANULOSA CELL,0.10583791734456593,1.582794540229885,3.5547134783040746,"['DSP', 'APP', 'COL18A1', 'RAI1', 'HUWE1', 'IHH', 'PLP1', 'FLNA', 'HYDIN2', 'SOX9', 'GDF6', 'PTHLH']",0.8711274735283503,0,0
