rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,Breast - Mammary Tissue Female 30-39 Up,0.03654820552748481,6.9488795518207285,22.99469847199605,"['IRX1', 'PTHLH']",0.29635787620352466,0,0
2,Muscle - Skeletal Female 60-69 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['LBX1', 'SH3BGR']",0.29635787620352466,0,0
3,Minor Salivary Gland Female 60-69 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['IRX1', 'SOX9']",0.29635787620352466,0,0
4,Brain - Hippocampus Female 40-49 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['SEMA6B', 'KCNJ6']",0.29635787620352466,0,0
5,Minor Salivary Gland Male 60-69 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['IRX1', 'SOX9']",0.29635787620352466,0,0
6,Whole Blood Female 50-59 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['ITGB2', 'KCNJ15']",0.29635787620352466,0,0
7,Brain - Cortex Male 20-29 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['SEMA6B', 'BHLHA9']",0.29635787620352466,0,0
8,Muscle - Skeletal Female 50-59 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['LBX1', 'SH3BGR']",0.29635787620352466,0,0
9,Brain - Hippocampus Male 20-29 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['SEMA6B', 'KCNJ6']",0.29635787620352466,0,0
10,Artery - Tibial Male 50-59 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['COL18A1', 'FLNA']",0.29635787620352466,0,0
11,Muscle - Skeletal Female 20-29 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['LBX1', 'SH3BGR']",0.29635787620352466,0,0
12,Muscle - Skeletal Male 30-39 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['LBX1', 'SH3BGR']",0.29635787620352466,0,0
13,Minor Salivary Gland Female 50-59 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['IRX1', 'SOX9']",0.29635787620352466,0,0
14,Brain - Substantia Nigra Male 20-29 Up,0.04798478677458479,5.951980792316927,18.075399411278084,"['KCNJ6', 'PLP1']",0.29635787620352466,0,0
15,Breast - Mammary Tissue Female 60-69 Up,0.14310172682290082,6.7027300303336705,13.031444542830535,['IRX1'],0.29635787620352466,0,0
16,Artery - Coronary Female 50-59 Up,0.1784925347981618,5.237154150197629,9.024708550028665,['COL18A1'],0.29635787620352466,0,0
17,Breast - Mammary Tissue Female 40-49 Up,0.18711267699370324,4.9655172413793105,8.322426833312653,['IRX1'],0.29635787620352466,0,0
18,Breast - Mammary Tissue Male 40-49 Up,0.2040863516150643,4.498641304347826,7.1492951155685995,['PTHLH'],0.29635787620352466,0,0
19,Breast - Mammary Tissue Female 50-59 Up,0.22071056230041772,4.111801242236025,6.212533279185952,['IRX1'],0.29635787620352466,0,0
