rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,PrefrontalCortex,0.00045974289731322195,4.8838583914984595,37.531685674312165,"['YWHAE', 'MECP2', 'SEMA6B', 'KCNJ6', 'PDXK', 'NF1', 'SOX9', 'SHANK3']",0.020228687481781766,0,0
2,CD56+ NKCells,0.047693792016621404,2.410857908847185,7.336129803851871,"['NIPBL', 'TRAPPC10', 'ITGB2', 'AXIN1', 'DIP2A', 'USP28']",0.6340535859063506,0,0
3,Heart,0.057555242923670306,2.8782717687827177,8.217494814710053,"['KCNE1', 'MB', 'IHH', 'PRKACA']",0.6340535859063506,0,0
4,SkeletalMuscle,0.06874983852422081,2.703418625615422,7.237811027211673,"['MB', 'GPR101', 'SIM2', 'SH3BGR']",0.6340535859063506,0,0
5,Tonsil,0.08717985645161683,11.539130434782608,28.152962485204668,['SIM2'],0.6340535859063506,0,0
6,OccipitalLobe,0.11557636085649726,8.48081841432225,18.30011211062434,['SYNJ1'],0.6340535859063506,0,0
7,CD4+ Tcells,0.1165260231442234,2.222718680185599,4.77804644242722,"['SON', 'TMEM50B', 'NF1', 'DIP2A']",0.6340535859063506,0,0
8,Lymphoma burkitts(Raji),0.1280276863658555,2.4904172320217097,5.1190743834762324,"['MECP2', 'PFKL', 'RAB39B']",0.6340535859063506,0,0
9,CD8+ Tcells,0.15975037912633447,1.9592581331711767,3.593559222747954,"['NIPBL', 'SON', 'TRAPPC10', 'TMEM50B']",0.6340535859063506,0,0
10,DorsalRootGanglion,0.21520754727818772,4.2331628303495314,6.502783158098963,['PMP22'],0.6340535859063506,0,0
11,Prostate,0.2167158625190071,2.343772326744463,3.584022046239802,"['FLNA', 'SOX9']",0.6340535859063506,0,0
12,SubthalamicNucleus,0.2369924018200216,3.78604118993135,5.450866474619617,['SHANK3'],0.6340535859063506,0,0
13,OlfactoryBulb,0.2529388210103955,3.5079533404029695,4.82205944032711,['PMP22'],0.6340535859063506,0,0
14,CiliaryGanglion,0.25420608715319465,2.0944160272804773,2.8685330810851677,"['NF1', 'SHANK3']",0.6340535859063506,0,0
15,WholeBlood,0.26828026705814867,1.701580161813243,2.238808278274983,"['CREBBP', 'NIPBL', 'KCNJ15']",0.6340535859063506,0,0
16,Colorectaladenocarcinoma,0.2723908303670434,1.9918864097363083,2.5904828702594997,"['HUWE1', 'SOX9']",0.6340535859063506,0,0
17,Pancreas,0.2863709842832397,3.0259344012204425,3.783831599728172,['KCNE1'],0.6340535859063506,0,0
18,TestisGermCell,0.30093847337063817,1.8493589743589745,2.2208016934038923,"['KCTD13', 'SOX9']",0.6340535859063506,0,0
19,Spinalcord,0.3086479399829948,2.7628205128205128,3.2478447174119007,['TJP2'],0.6340535859063506,0,0
20,AdrenalCortex,0.31108043898044446,2.7363699102829537,3.195269416588392,['APP'],0.6340535859063506,0,0
21,Cerebellum,0.31592015530538237,2.684951916565082,3.093778188645756,['SHANK3'],0.6340535859063506,0,0
22,Skin,0.3231169567775351,2.61133069828722,2.9501271612109314,['DSP'],0.6340535859063506,0,0
23,Tongue,0.33259671276554004,2.5191965420798375,2.773193514972028,['DSP'],0.6340535859063506,0,0
24,Leukemia chronicMyelogenousK-562,0.3534502945066562,2.33380464239425,2.4271857979133378,['CRKL'],0.6340535859063506,0,0
25,Appendix,0.36025771926497197,2.27789279963193,2.3255818904183614,['NF1'],0.6340535859063506,0,0
26,CerebellumPeduncles,0.38244285142109513,2.1093350383631715,2.0274423096008367,['YWHAE'],0.63563733385177,0,0
27,Testis,0.39005018213631343,1.5050816137973515,1.4170040511151705,"['PDXK', 'KCTD13']",0.63563733385177,0,0
28,CD33+ Myeloid,0.42599556767430197,1.2753245606288086,1.0882680361739316,"['NIPBL', 'SON', 'ITGB2']",0.6694216063453317,0,0
29,TrigeminalGanglion,0.49871476265630893,1.466740988480119,1.0204424553085754,['SIM2'],0.7443517095131653,0,0
30,Uterus,0.5075125292135219,1.4297101449275362,0.9696778592491234,['FLNA'],0.7443517095131653,0,0
31,retina,0.5363016475484282,1.3165698256862353,0.8203000219657324,['HUWE1'],0.7612023384558336,0,0
32,TestisIntersitial,0.5950756129871564,1.006235709831636,0.5223035508132838,"['RNF32', 'PDXK']",0.7626930640015512,0,0
33,AtrioventricularNode,0.613079844881115,1.063270603504218,0.520215880593055,['SHANK3'],0.7626930640015512,0,0
34,SuperiorCervicalGanglion,0.6270042125822931,0.9475490196078431,0.4423177961553515,"['NF1', 'PRDM13']",0.7626930640015512,0,0
35,BronchialEpithelialCells,0.6279179907052969,1.0207781413952521,0.4750147280313402,['PTHLH'],0.7626930640015512,0,0
36,721 B lymphoblasts,0.6361837208249765,0.9198759627888367,0.4160303590366884,"['PFKL', 'CHAF1B', 'DONSON', 'HUWE1', 'LMNB1']",0.7626930640015512,0,0
37,Liver,0.6413555310922135,0.9221734148204737,0.409602987663627,"['COL18A1', 'SOD1']",0.7626930640015512,0,0
38,pineal night,0.6882342210655977,0.842874649859944,0.3149199356719528,"['MECP2', 'SYNJ1']",0.7752979037250713,0,0
39,pineal day,0.703738696517224,0.8176640598435906,0.2872847641052725,"['SYNJ1', 'NF1']",0.7752979037250713,0,0
40,Amygdala,0.7048162761137011,0.8251600943714189,0.28865594580694026,['SYNJ1'],0.7752979037250713,0,0
41,SmoothMuscle,0.7231847872114324,0.7834094002722396,0.2538955485538232,['ABL1'],0.7761007472512934,0,0
42,CD19+ BCells(neg. sel.),0.7676710471711451,0.6882823794915195,0.18197770500449245,['USP28'],0.804226811322152,0,0
43,BDCA4+ DendriticCells,0.8275011842840914,0.5702047761544329,0.10796527541440123,['SON'],0.8467453978720936,0,0
44,CD71+ EarlyErythroid,0.8600114501660233,0.5087691661415669,0.07672726206318667,['SNCA'],0.8600114501660233,0,0
