rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,r8 part of inferior olive,0.3224930282761227,1.188479850144392,1.3449714615628692,"['MYOT', 'DDX11', 'MMP23B', 'BTN1A1', 'FRG1', 'GBA', 'OCM', 'PKD2L2', 'GPAT2', 'MUC20', 'C1QTNF9B', 'GPHB5']",0.9999960095075623,0,0
2,"substantia nigra reticulata, isthmic part",0.4411168786880162,1.0839960650305478,0.887191601292893,"['DPY19L2', 'BTN2A2', 'OPN1LW', 'MST1', 'KRT14', 'TEKT4', 'OR4M1', 'CYP2E1', 'GPAT2', 'OR4Q3', 'UPK3B']",0.9999960095075623,0,0
3,superficial stratum of isBI,0.4411168786880162,1.0839960650305478,0.887191601292893,"['DPY19L2', 'BTN2A2', 'OPN1LW', 'MST1', 'KRT14', 'TEKT4', 'OR4M1', 'CYP2E1', 'GPAT2', 'OR4Q3', 'UPK3B']",0.9999960095075623,0,0
4,Paragigantocellular reticular nucleus,0.5690706798670693,0.9805406575062984,0.5527804181924949,"['MSTO1', 'FRG1', 'GBA', 'TEKT4', 'OR4M1', 'HLA-A', 'CYP2E1', 'TEX28', 'GPHB5', 'FAM90A1']",0.9999960095075623,0,0
5,superficial stratum of r8BM,0.5690706798670693,0.9805406575062984,0.5527804181924949,"['MYOT', 'DDX11', 'MMP23B', 'BTN1A1', 'GBA', 'OCM', 'PKD2L2', 'GPAT2', 'MUC20', 'GPHB5']",0.9999960095075623,0,0
6,"Inferior colliculus, dorsal nucleus",0.693917730247067,0.8781016733655975,0.3208599933353366,"['DPY19L2', 'BTN2A2', 'OPN1LW', 'MYOT', 'FOXI3', 'KRT14', 'ZNF799', 'PKD2L2', 'CYP4F12']",0.9999960095075623,0,0
7,Magnocellular reticular nucleus,0.693917730247067,0.8781016733655975,0.3208599933353366,"['MSTO1', 'DDX11', 'GBA', 'OCM', 'PKD2L2', 'OR4Q3', 'TEX28', 'MUC20', 'GPHB5']",0.9999960095075623,0,0
8,"Pyramus (VIII), granular layer",0.693917730247067,0.8781016733655975,0.3208599933353366,"['OR1S1', 'RASA4', 'ACOT2', 'OR4K1', 'S1PR1', 'ZNF799', 'PKD2L2', 'FAM149A', 'CLCA4']",0.9999960095075623,0,0
9,"Uvula (IX), granular layer",0.693917730247067,0.8781016733655975,0.3208599933353366,"['OR1S1', 'RASA4', 'ACOT2', 'OR4K1', 'S1PR1', 'TEKT4', 'ZNF799', 'PKD2L2', 'CLCA4']",0.9999960095075623,0,0
10,r7 basal plate,0.693917730247067,0.8781016733655975,0.3208599933353366,"['MSTO1', 'DDX11', 'FRG1', 'GBA', 'OCM', 'OR4Q3', 'TEX28', 'MUC20', 'GPHB5']",0.9999960095075623,0,0
11,rostral ventrolateral reticular area,0.693917730247067,0.8781016733655975,0.3208599933353366,"['MSTO1', 'MMP23B', 'BTN1A1', 'FRG1', 'OR4K1', 'SYT15', 'HLA-A', 'GPHB5', 'FAM90A1']",0.9999960095075623,0,0
12,superficial stratum of Mam,0.693917730247067,0.8781016733655975,0.3208599933353366,"['SPAG11B', 'BTN2A2', 'BTN1A1', 'MST1', 'FRG1', 'KRT14', 'AQP7', 'CYP2E1', 'GPAT2']",0.9999960095075623,0,0
13,superficial stratum of r7BI,0.693917730247067,0.8781016733655975,0.3208599933353366,"['DDX11', 'NDE1', 'BTN1A1', 'FRG1', 'OCM', 'PKD2L2', 'TEX28', 'MUC20', 'GPHB5']",0.9999960095075623,0,0
14,superficial stratum of r7BL,0.693917730247067,0.8781016733655975,0.3208599933353366,"['MSTO1', 'MMP23B', 'BTN1A1', 'FRG1', 'OR4K1', 'SYT15', 'HLA-A', 'GPHB5', 'FAM90A1']",0.9999960095075623,0,0
15,"Folium-tuber vermis (VII), granular layer",0.8030086357967544,0.7766673298744496,0.1703928984596416,"['CALB2', 'TCP11X2', 'ANTXRL', 'ACOT2', 'S1PR1', 'ZNF799', 'PKD2L2', 'CLCA4']",0.9999960095075623,0,0
16,Intercalated amygdalar nucleus,0.8030086357967544,0.7766673298744496,0.1703928984596416,"['CLPS', 'NCF1', 'STRC', 'EIF2AK3', 'TEKT4', 'FCGR1A', 'FBXO22', 'CLK2']",0.9999960095075623,0,0
