rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,Brain - Amygdala Female 60-69 Up,9.118862429655177e-10,6.859506923336711,142.78410660898263,"['TRIM43B', 'FRG2B', 'MBD3L2', 'FRG2C', 'CSAG1', 'RFPL4A', 'PRAMEF2', 'FRG2', 'PRAMEF25', 'OCM', 'PRR20E', 'TRIM49B', 'TRIM49', 'RFPL4AL1', 'TRIM49C', 'TRIM49D1', 'TRIM43', 'PRAMEF8', 'PRAMEF7']",3.4742865856986226e-07,0,0
2,Pancreas Male 50-59 Up,0.006818099754527614,2.847404092913075,14.20334841434115,"['PRSS1', 'CLPS', 'AMY2A', 'AQP12B', 'AMY1A', 'AQP12A', 'AMY1B', 'AMY1C', 'CEL']",0.3247120008093776,0,0
3,Testis Male 60-69 Up,0.006818099754527614,2.847404092913075,14.20334841434115,"['GOLGA6A', 'ANTXRL', 'SPATA31D3', 'SPATA31A1', 'PRAMEF11', 'SPATA31D1', 'RGPD4', 'POTEC', 'RGPD3']",0.3247120008093776,0,0
4,Pancreas Male 60-69 Up,0.006818099754527614,2.847404092913075,14.20334841434115,"['PRSS1', 'CLPS', 'AMY2A', 'AQP12B', 'AMY1A', 'AQP12A', 'AMY1B', 'AMY1C', 'CEL']",0.3247120008093776,0,0
5,Pancreas Female 60-69 Up,0.006818099754527614,2.847404092913075,14.20334841434115,"['PRSS1', 'CLPS', 'AMY2A', 'AQP12B', 'AMY1A', 'AQP12A', 'AMY1B', 'AMY1C', 'CEL']",0.3247120008093776,0,0
6,Pancreas Female 50-59 Up,0.006818099754527614,2.847404092913075,14.20334841434115,"['PRSS1', 'CLPS', 'AMY2A', 'AQP12B', 'AMY1A', 'AQP12A', 'AMY1B', 'AMY1C', 'CEL']",0.3247120008093776,0,0
7,Pancreas Female 40-49 Up,0.006818099754527614,2.847404092913075,14.20334841434115,"['PRSS1', 'CLPS', 'AMY2A', 'AQP12B', 'AQP12A', 'AMY1B', 'AMY1C', 'PRSS16', 'CEL']",0.3247120008093776,0,0
8,Pancreas Female 20-29 Up,0.006818099754527614,2.847404092913075,14.20334841434115,"['PRSS1', 'CLPS', 'AMY2A', 'AQP12B', 'AMY1A', 'AQP12A', 'AMY1B', 'AMY1C', 'CEL']",0.3247120008093776,0,0
9,Cells - EBV-transformed Lymphocytes Female 20-29 Up,0.02017450367552183,2.4996425554039123,9.756943938994924,"['DUSP22', 'OR2G6', 'OR2T2', 'OR2T29', 'FAM72D', 'FAM72C', 'FAM72B', 'OR2T5']",0.48040536877336354,0,0
10,Pancreas Male 30-39 Up,0.02017450367552183,2.4996425554039123,9.756943938994924,"['PRSS1', 'CLPS', 'AMY2A', 'AQP12B', 'AMY1A', 'AQP12A', 'AMY1C', 'CEL']",0.48040536877336354,0,0
11,Pancreas Male 20-29 Up,0.02017450367552183,2.4996425554039123,9.756943938994924,"['PRSS1', 'CLPS', 'AMY2A', 'AQP12B', 'AQP12A', 'AMY1B', 'GSTA2', 'CEL']",0.48040536877336354,0,0
12,Testis Male 40-49 Up,0.02017450367552183,2.4996425554039123,9.756943938994924,"['RHOXF2', 'PAGE2B', 'TPTE', 'ZNF479', 'MAGEA6', 'SSX3', 'MAGEA3', 'CT47B1']",0.48040536877336354,0,0
13,Prostate Male 40-49 Up,0.02017450367552183,2.4996425554039123,9.756943938994924,"['POTEM', 'PRIM2', 'FOLH1', 'POTEH', 'POTEG', 'RLN1', 'OR2T35', 'ZNF761']",0.48040536877336354,0,0
14,Pancreas Male 40-49 Up,0.02017450367552183,2.4996425554039123,9.756943938994924,"['PRSS1', 'CLPS', 'AMY2A', 'AQP12B', 'AQP12A', 'AMY1B', 'AMY1C', 'CEL']",0.48040536877336354,0,0
15,Pancreas Female 30-39 Up,0.02017450367552183,2.4996425554039123,9.756943938994924,"['PRSS1', 'CLPS', 'AMY2A', 'AQP12B', 'AMY1A', 'AQP12A', 'AMY1B', 'CEL']",0.48040536877336354,0,0
16,Liver Male 70-79 Up,0.02017450367552183,2.4996425554039123,9.756943938994924,"['UGT2B10', 'CYP2A7', 'CYP2A6', 'SLC10A1', 'GSTA2', 'UGT2B15', 'CYP4A22', 'CYP4A11']",0.48040536877336354,0,0
17,Prostate Male 50-59 Up,0.05315256296489996,2.1603273952816564,6.33967291122582,"['POTEM', 'PRIM2', 'FOLH1', 'POTEH', 'RLN2', 'RLN1', 'ZNF761']",0.8100450595850753,0,0
18,Testis Male 50-59 Up,0.05315256296489996,2.1603273952816564,6.33967291122582,"['PAGE2', 'PAGE2B', 'MAGEA6', 'SSX3', 'MAGEA3', 'SSX1', 'CT47B1']",0.8100450595850753,0,0
19,Prostate Male 30-39 Up,0.05315256296489996,2.1603273952816564,6.33967291122582,"['POTEM', 'FOLH1', 'POTEH', 'POTEG', 'RLN1', 'C1QTNF9B', 'ZNF761']",0.8100450595850753,0,0
20,Prostate Male 20-29 Up,0.05315256296489996,2.1603273952816564,6.33967291122582,"['POTEM', 'PRIM2', 'FOLH1', 'POTEH', 'POTEG', 'RLN1', 'ZNF761']",0.8100450595850753,0,0
21,Whole Blood Male 70-79 Up,0.05315256296489996,2.1603273952816564,6.33967291122582,"['HCAR2', 'HCAR3', 'GYPB', 'KIR3DL1', 'KIR2DL3', 'DCAF12', 'RHD']",0.8100450595850753,0,0
22,Liver Male 40-49 Up,0.05315256296489996,2.1603273952816564,6.33967291122582,"['PLGLB2', 'CYP2D6', 'ABCC6', 'MST1', 'ASL', 'CYP2E1', 'ORM2']",0.8100450595850753,0,0
23,Testis Male 70-79 Up,0.05315256296489996,2.1603273952816564,6.33967291122582,"['GOLGA6L22', 'ZNF705G', 'GOLGA8F', 'PAGE2B', 'RHOXF2B', 'ANKRD18A', 'SSX3']",0.8100450595850753,0,0
24,Prostate Male 70-79 Up,0.05315256296489996,2.1603273952816564,6.33967291122582,"['POTEM', 'CST1', 'POTEH', 'MMP23B', 'RLN1', 'DUX4', 'ZNF761']",0.8100450595850753,0,0
25,Pancreas Male 70-79 Up,0.05315256296489996,2.1603273952816564,6.33967291122582,"['PRSS1', 'CLPS', 'AQP12B', 'AQP12A', 'AMY1C', 'CEL', 'CFC1']",0.8100450595850753,0,0
26,Prostate Male 60-69 Up,0.12353316820175635,1.8291847670989632,3.8252745784729316,"['POTEM', 'FOLH1', 'POTEH', 'POTEG', 'RLN1', 'ZNF761']",0.9683259770028441,0,0
27,Whole Blood Male 60-69 Up,0.12353316820175635,1.8291847670989632,3.8252745784729316,"['HCAR2', 'HCAR3', 'KIR3DL1', 'KIR2DL1', 'KIR3DL2', 'KIR2DL3']",0.9683259770028441,0,0
28,Liver Male 60-69 Up,0.12353316820175635,1.8291847670989632,3.8252745784729316,"['PLGLB2', 'CYP2D6', 'CYP4A22', 'ABCC6', 'MST1', 'CYP2E1']",0.9683259770028441,0,0
29,Liver Male 50-59 Up,0.12353316820175635,1.8291847670989632,3.8252745784729316,"['PLGLB2', 'CYP2D6', 'ABCC6', 'MST1', 'CYP2E1', 'ORM2']",0.9683259770028441,0,0
30,Testis Male 30-39 Up,0.12353316820175635,1.8291847670989632,3.8252745784729316,"['POM121L2', 'RHOXF2', 'TPTE', 'CDC14C', 'MAGEA6', 'MAGEA3']",0.9683259770028441,0,0
31,Liver Male 20-29 Up,0.12353316820175635,1.8291847670989632,3.8252745784729316,"['C4B', 'C4A', 'PLGLB2', 'ASL', 'CYP2E1', 'CES1']",0.9683259770028441,0,0
32,Small Intestine - Terminal Ileum Male 70-79 Up,0.12353316820175635,1.8291847670989632,3.8252745784729316,"['ARL17B', 'BTN3A1', 'DDX11', 'NPIPB4', 'NPIPB12', 'DEFB107B']",0.9683259770028441,0,0
33,Liver Female 30-39 Up,0.12353316820175635,1.8291847670989632,3.8252745784729316,"['CYP2A7', 'CYP2A6', 'CYP2B6', 'SLC10A1', 'CYP2E1', 'CES1']",0.9683259770028441,0,0
34,Vagina Female 30-39 Up,0.2267710632327331,1.6829822567957347,2.4972331433622528,"['SERPINB3', 'SERPINB4', 'KRT17', 'S100A7']",0.9683259770028441,0,0
35,Vagina Female 50-59 Up,0.23405449025828376,1.6585050713870404,2.408483264478688,"['SERPINB3', 'SERPINB4', 'GOLGA6L9', 'ERVV-1']",0.9683259770028441,0,0
36,Skin - Not Sun Exposed (Suprapubic) Male 50-59 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['LGALS7B', 'ANXA8L1', 'KRT14', 'KCNJ18', 'LGALS7']",0.9683259770028441,0,0
37,Stomach Male 60-69 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['TRIM73', 'TRIM74', 'NBPF12', 'PGA3', 'LGALS9C']",0.9683259770028441,0,0
38,Whole Blood Female 50-59 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['HCAR2', 'HCAR3', 'FCGR3B', 'KIR3DL1', 'KIR2DL4']",0.9683259770028441,0,0
39,Stomach Female 20-29 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['TRIM73', 'TRIM74', 'NBPF12', 'PGA3', 'LGALS9C']",0.9683259770028441,0,0
40,Vagina Female 20-29 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['S100A7A', 'SERPINB3', 'SERPINB4', 'ANXA8', 'S100A7']",0.9683259770028441,0,0
41,Stomach Female 50-59 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['TRIM73', 'TRIM74', 'NBPF12', 'PGA3', 'LGALS9C']",0.9683259770028441,0,0
42,Skin - Not Sun Exposed (Suprapubic) Male 20-29 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['LGALS7B', 'KRT17', 'KRT14', 'KCNJ18', 'LGALS7']",0.9683259770028441,0,0
43,Whole Blood Female 30-39 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['LILRA6', 'FCGR3B', 'NCF1', 'FCGR1A', 'OSCAR']",0.9683259770028441,0,0
44,Cells - Cultured Fibroblasts Female 30-39 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['PSG5', 'PSG4', 'PSG1', 'PSG2', 'SEC22B']",0.9683259770028441,0,0
45,Pituitary Male 30-39 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['TCP11X1', 'TCP11X2', 'NXF2B', 'FAM86B1', 'CFC1']",0.9683259770028441,0,0
46,Brain - Cerebellar Hemisphere Male 70-79 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['PLGLB1', 'STRC', 'CKMT1B', 'NBPF20', 'ANKRD18B']",0.9683259770028441,0,0
47,Brain - Cerebellar Hemisphere Female 50-59 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['PLGLB1', 'CKMT1B', 'NBPF20', 'NPIPA2', 'ANKRD18B']",0.9683259770028441,0,0
48,Stomach Male 40-49 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['TRIM73', 'TRIM74', 'NBPF12', 'PGA3', 'LGALS9C']",0.9683259770028441,0,0
49,Brain - Hypothalamus Male 70-79 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['SMIM10L2B', 'CALB2', 'PCDH11Y', 'MAGED4', 'CFC1']",0.9683259770028441,0,0
50,Whole Blood Female 70-79 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['FCGR3A', 'FCGR3B', 'HSPA6', 'XCL2', 'CD177']",0.9683259770028441,0,0
51,Skin - Sun Exposed (Lower Leg) Female 70-79 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['S100A7A', 'SERPINB4', 'LGALS7B', 'KRT17', 'KRT14']",0.9683259770028441,0,0
52,Skin - Not Sun Exposed (Suprapubic) Female 70-79 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['LGALS7B', 'KRT14', 'KCNJ18', 'OCM2', 'NBPF26']",0.9683259770028441,0,0
53,Artery - Aorta Female 70-79 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['LIMS4', 'FAM156B', 'LIMS3', 'MAGEA2B', 'CLEC18A']",0.9683259770028441,0,0
54,Spleen Male 70-79 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['FCGR3A', 'BTN3A1', 'FAM153A', 'BTN3A2', 'FAM72A']",0.9683259770028441,0,0
55,Kidney - Cortex Male 70-79 Up,0.2507277602156153,1.505952380952381,2.0833157733950904,"['CLEC18C', 'CLEC18B', 'OR2T35', 'CLEC18A', 'OR2T10']",0.9683259770028441,0,0
56,Stomach Male 70-79 Up,0.30794397216262104,1.8439187574671445,2.171836514047777,"['NBPF12', 'PGA3']",0.9683259770028441,0,0
57,Esophagus - Gastroesophageal Junction Female 70-79 Up,0.4035296301247362,2.040257819103973,1.851544909053057,['PRAMEF25'],0.9683259770028441,0,0
58,Spleen Male 50-59 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['BTN3A1', 'BTN3A3', 'GRAP', 'BTN3A2']",0.9683259770028441,0,0
59,Stomach Male 50-59 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['TRIM73', 'TRIM74', 'NBPF12', 'PGA3']",0.9683259770028441,0,0
60,Cells - EBV-transformed Lymphocytes Female 60-69 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['FAM72D', 'FAM72C', 'FAM72B', 'FAM72A']",0.9683259770028441,0,0
61,Spleen Female 60-69 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['BTN3A1', 'BTN3A3', 'GRAP', 'BTN3A2']",0.9683259770028441,0,0
62,Stomach Female 60-69 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['TRIM73', 'TRIM74', 'NBPF12', 'PGA3']",0.9683259770028441,0,0
63,Skin - Not Sun Exposed (Suprapubic) Male 40-49 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['LGALS7B', 'ANXA8L1', 'KRT17', 'KRT14']",0.9683259770028441,0,0
64,Brain - Hypothalamus Male 60-69 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['SMIM10L2B', 'CALB2', 'PCDH11Y', 'CFC1']",0.9683259770028441,0,0
65,Esophagus - Mucosa Female 20-29 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['DEFB104B', 'DEFB104A', 'RAET1L', 'CLCA4']",0.9683259770028441,0,0
66,Whole Blood Male 30-39 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['LILRA6', 'NCF1', 'LILRB2', 'OSCAR']",0.9683259770028441,0,0
67,Liver Male 30-39 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['SLC10A1', 'UGT2B15', 'ABCC6', 'CYP2E1']",0.9683259770028441,0,0
68,Stomach Male 30-39 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['TRIM73', 'TRIM74', 'NBPF12', 'PGA3']",0.9683259770028441,0,0
69,Kidney - Cortex Male 60-69 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['CLEC18C', 'CLEC18B', 'CLEC18A', 'OR2T10']",0.9683259770028441,0,0
70,Liver Female 60-69 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['PLGLB2', 'CYP2D6', 'MST1', 'ORM2']",0.9683259770028441,0,0
71,Testis Male 20-29 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['GOLGA8S', 'CTAGE9', 'TPTE', 'MAGEA6']",0.9683259770028441,0,0
72,Whole Blood Female 40-49 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['LILRA6', 'FCGR3B', 'LILRB2', 'OSCAR']",0.9683259770028441,0,0
73,Skin - Not Sun Exposed (Suprapubic) Female 40-49 Up,0.43999993568961,1.1903789004457652,0.9772781008460076,"['ANXA8L1', 'KRT14', 'KCNJ18', 'LGALS7']",0.9683259770028441,0,0
