rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,Brain - Amygdala Female 60-69 Up,0.003616520818054675,5.2105263157894735,29.294844142785596,"['RFPL4A', 'OCM', 'TRIM49C', 'CSAG1', 'TRIM43']",0.4252656643481795,0,0
2,Liver Male 70-79 Up,0.003616520818054675,5.2105263157894735,29.294844142785596,"['UGT2B10', 'CYP2A7', 'CYP2A6', 'CYP4A22', 'CYP4A11']",0.4252656643481795,0,0
3,Brain - Hypothalamus Male 60-69 Up,0.019283770321589667,4.104166666666667,16.205267004279168,"['SMIM10L2B', 'CALB2', 'PCDH11Y', 'CFC1']",0.4252656643481795,0,0
4,Whole Blood Female 30-39 Up,0.019283770321589667,4.104166666666667,16.205267004279168,"['LILRA6', 'FCGR3B', 'NCF1', 'OSCAR']",0.4252656643481795,0,0
5,Pancreas Female 40-49 Up,0.019283770321589667,4.104166666666667,16.205267004279168,"['PRSS1', 'AQP12A', 'PRSS16', 'CEL']",0.4252656643481795,0,0
6,Brain - Cerebellar Hemisphere Male 70-79 Up,0.019283770321589667,4.104166666666667,16.205267004279168,"['PLGLB1', 'STRC', 'CKMT1B', 'ANKRD18B']",0.4252656643481795,0,0
7,Brain - Hypothalamus Male 70-79 Up,0.019283770321589667,4.104166666666667,16.205267004279168,"['SMIM10L2B', 'CALB2', 'PCDH11Y', 'CFC1']",0.4252656643481795,0,0
8,Brain - Cerebellum Female 30-39 Up,0.019283770321589667,4.104166666666667,16.205267004279168,"['STRC', 'CKMT1B', 'ERVV-1', 'SRGAP2B']",0.4252656643481795,0,0
9,Pancreas Male 70-79 Up,0.019283770321589667,4.104166666666667,16.205267004279168,"['PRSS1', 'AQP12A', 'CEL', 'CFC1']",0.4252656643481795,0,0
10,Liver Female 30-39 Up,0.019283770321589667,4.104166666666667,16.205267004279168,"['CYP2A7', 'CYP2A6', 'CYP2E1', 'CES1']",0.4252656643481795,0,0
11,Vagina Female 30-39 Up,0.03732511690788735,4.267142548128921,14.030743635020325,"['SERPINB4', 'KRT17', 'S100A7']",0.4252656643481795,0,0
12,Vagina Female 50-59 Up,0.03864143201371329,4.205970149253731,13.683830345638446,"['SERPINB4', 'GOLGA6L9', 'ERVV-1']",0.4252656643481795,0,0
13,Adrenal Gland Male 50-59 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['C4B', 'CYP21A2', 'GSTA1']",0.4252656643481795,0,0
14,Pancreas Male 50-59 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['PRSS1', 'AQP12A', 'CEL']",0.4252656643481795,0,0
15,Stomach Male 50-59 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['TRIM73', 'TRIM74', 'NBPF12']",0.4252656643481795,0,0
16,Adrenal Gland Male 60-69 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['C4B', 'CYP21A2', 'GSTA1']",0.4252656643481795,0,0
17,Stomach Male 60-69 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['TRIM73', 'TRIM74', 'NBPF12']",0.4252656643481795,0,0
18,Pancreas Male 60-69 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['PRSS1', 'AQP12A', 'CEL']",0.4252656643481795,0,0
19,Pancreas Female 60-69 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['PRSS1', 'AQP12A', 'CEL']",0.4252656643481795,0,0
20,Stomach Female 60-69 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['TRIM73', 'TRIM74', 'NBPF12']",0.4252656643481795,0,0
21,Whole Blood Female 50-59 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['HCAR3', 'FCGR3B', 'KIR2DL4']",0.4252656643481795,0,0
22,Brain - Hypothalamus Male 50-59 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['SMIM10L2B', 'CALB2', 'PCDH11Y']",0.4252656643481795,0,0
23,Brain - Anterior Cingulate Cortex (BA24) Male 40-49 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['SMIM10L2A', 'PCDH11Y', 'DRD5']",0.4252656643481795,0,0
24,Skin - Not Sun Exposed (Suprapubic) Male 40-49 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['LGALS7B', 'ANXA8L1', 'KRT17']",0.4252656643481795,0,0
25,Liver Male 60-69 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['CYP4A22', 'MST1', 'CYP2E1']",0.4252656643481795,0,0
26,Brain - Anterior Cingulate Cortex (BA24) Male 50-59 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['SMIM10L2B', 'SMIM10L2A', 'DRD5']",0.4252656643481795,0,0
27,Stomach Female 20-29 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['TRIM73', 'TRIM74', 'NBPF12']",0.4252656643481795,0,0
28,Whole Blood Male 30-39 Up,0.08260556070072551,3.0310817048776735,7.558542612022745,"['LILRA6', 'NCF1', 'OSCAR']",0.4252656643481795,0,0
