rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,FETAL BRAIN,0.5645995249270156,0.9852848322225849,0.5632268466212704,"['ALK', 'SEMA5B', 'PPP1R17', 'TENM4', 'NCAN', 'MLC1', 'GRIK4', 'GRIK1', 'HAPLN4', 'GLI2', 'CALB2', 'CICP3', 'SOX1', 'CYP2D6', 'GNRHR', 'KRTAP5-1', 'MTCO3P44', 'GALNT8', 'EOMES', 'SLC32A1', 'IQCD', 'KIF7', 'ETV5', 'MN1', 'GLTPD2', 'GPRC5B', 'KRT8P26', 'ADGRB1', 'DCX', 'LETM1P2', 'PLPP3', 'TRIB2', 'PHC1P1', 'MPRIPP1', 'CRB2', 'GRIA1', 'SH3GL1P2', 'LAMA1', 'SDC3', 'LYPD1', 'CTXND1', 'SLC1A3', 'ASAP2', 'GNG4', 'SLITRK1', 'CNR1', 'DCDC2B', 'NRBF2P5', 'CDH24', 'RPRML', 'FAM43B', 'PRPH', 'CCDC177', 'KCNJ10', 'TCEA1P3', 'WHRN', 'ST8SIA2', 'PXDNL', 'MEIS3', 'ST6GALNAC4P1', 'GNG13', 'VEPH1', 'CACHD1', 'SLC25A14P1', 'HCG22', 'MEIS3P2', 'NEUROG2']",0.9999940846859435,0,0
2,SPINAL CORD,0.712385311925496,0.934348693030631,0.3168716011904755,"['CHRM2', 'ALK', 'RYR1', 'SEMA5B', 'PPP1R17', 'HPSE2', 'TENM4', 'NCAN', 'HTR2C', 'MLC1', 'GRIK4', 'GRIK1', 'SLC7A10', 'HAPLN4', 'GLI2', 'ADAMTSL1', 'CALB2', 'CICP3', 'MAGEA8', 'SOX1', 'GRM7', 'GNRHR', 'KRTAP5-1', 'PAMR1', 'GALNT8', 'SLC32A1', 'DCC', 'KIF7', 'MN1', 'GPRC5B', 'PCP4', 'ADGRB1', 'DCX', 'LETM1P2', 'MPRIPP1', 'CRB2', 'GRIA1', 'LAMA1', 'SDC3', 'LYPD1', 'SLC1A3', 'DNAH9', 'ASAP2', 'CES5A', 'SLITRK1', 'CNR1', 'NRBF2P5', 'CDH24', 'FAM43B', 'CACNG3', 'NTSR2', 'PRPH', 'CCDC177', 'KCNJ10', 'ANKRD24', 'WHRN', 'PCDH20', 'ST8SIA2', 'MEIS3', 'NELL1', 'CACHD1', 'HCG22', 'MEIS3P2', 'NEUROG2']",0.9999940846859435,0,0
3,SPINAL CORD (BULK),0.712385311925496,0.934348693030631,0.3168716011904755,"['CHRM2', 'ALK', 'RYR1', 'SEMA5B', 'PPP1R17', 'HPSE2', 'TENM4', 'NCAN', 'HTR2C', 'MLC1', 'GRIK4', 'GRIK1', 'SLC7A10', 'HAPLN4', 'GLI2', 'ADAMTSL1', 'CALB2', 'CICP3', 'MAGEA8', 'SOX1', 'GRM7', 'GNRHR', 'KRTAP5-1', 'PAMR1', 'GALNT8', 'SLC32A1', 'DCC', 'KIF7', 'MN1', 'GPRC5B', 'PCP4', 'ADGRB1', 'DCX', 'LETM1P2', 'MPRIPP1', 'CRB2', 'GRIA1', 'LAMA1', 'SDC3', 'LYPD1', 'SLC1A3', 'DNAH9', 'ASAP2', 'CES5A', 'SLITRK1', 'CNR1', 'NRBF2P5', 'CDH24', 'FAM43B', 'CACNG3', 'NTSR2', 'PRPH', 'CCDC177', 'KCNJ10', 'ANKRD24', 'WHRN', 'PCDH20', 'ST8SIA2', 'MEIS3', 'NELL1', 'CACHD1', 'HCG22', 'MEIS3P2', 'NEUROG2']",0.9999940846859435,0,0
4,MOTOR NEURON,0.8916283909723229,0.8510423821650375,0.09761952728265456,"['CHRM2', 'ALK', 'SEMA5B', 'PPP1R17', 'TENM4', 'NCAN', 'CIB4', 'HTR2C', 'GRIK4', 'GRIK1', 'GLI2', 'TMEM191B', 'ADAMTSL1', 'CALB2', 'SOX1', 'CYP2D6', 'KRTAP5-1', 'GALNT8', 'PRKCG', 'SLC32A1', 'DCC', 'IQCD', 'KIF7', 'MN1', 'GPRC5B', 'PCP4', 'ADGRB1', 'DCX', 'TRIB2', 'PHC1P1', 'MPRIPP1', 'CRB2', 'GRIA1', 'KHDRBS2', 'LAMA1', 'SDC3', 'LYPD1', 'SLC1A3', 'ASAP2', 'GNG4', 'SLITRK1', 'CNR1', 'DCDC2B', 'CDH24', 'FAM43B', 'PRPH', 'CCDC177', 'TCEA1P3', 'ANKRD24', 'WHRN', 'GLYCTK', 'PCDH20', 'ST8SIA2', 'MEIS3', 'GNG13', 'NELL1', 'CACHD1', 'MEIS3P2', 'NEUROG2']",0.9999940846859435,0,0
5,SUPERIOR FRONTAL GYRUS,0.91498748387409,0.8346149716831737,0.07415127754349637,"['ALK', 'RYR1', 'SEMA5B', 'HPSE2', 'NCAN', 'HTR2C', 'MLC1', 'GRIK4', 'KIF12', 'GRIK1', 'SLC7A10', 'HAPLN4', 'MYOM2', 'TMEM191B', 'CALB2', 'SOX1', 'GRM7', 'SOSTDC1', 'KRTAP5-1', 'MADCAM1', 'PAMR1', 'GALNT8', 'PRKCG', 'SLC32A1', 'GPR37L1', 'GPRC5B', 'KRT8P26', 'PCP4', 'ADGRB1', 'ACSBG1', 'LETM1P2', 'CRB2', 'GRIA1', 'PDE1B', 'PRCD', 'SDC3', 'LYPD1', 'CTXND1', 'SLC1A3', 'CES5A', 'CPLX3', 'SLITRK1', 'CNR1', 'CDH24', 'RPRML', 'FAM43B', 'CACNG3', 'NTSR2', 'CCDC177', 'KCNJ10', 'ANKRD24', 'WHRN', 'PCDH20', 'MEIS3', 'GNG13', 'NELL1', 'TBC1D3L', 'SP7']",0.9999940846859435,0,0
6,BRAIN (BULK),0.9503163245042339,0.8019903155785607,0.04086972855030066,"['ALK', 'RYR1', 'SEMA5B', 'PPP1R17', 'HPSE2', 'NCAN', 'HTR2C', 'MLC1', 'GRIK4', 'GRIK1', 'SLC7A10', 'HAPLN4', 'MYOM2', 'CALB2', 'SOX1', 'GRM7', 'SOSTDC1', 'KRTAP5-1', 'MADCAM1', 'PAMR1', 'GALNT8', 'PRKCG', 'SLC32A1', 'SPINK6', 'GPR37L1', 'GPRC5B', 'KRT8P26', 'PCP4', 'ADGRB1', 'ACSBG1', 'LETM1P2', 'ZP2', 'CRB2', 'GRIA1', 'PDE1B', 'PRCD', 'LYPD1', 'CTXND1', 'SLC1A3', 'CES5A', 'CPLX3', 'SLITRK1', 'CNR1', 'RPRML', 'FAM43B', 'CACNG3', 'NTSR2', 'CCDC177', 'KCNJ10', 'ANKRD24', 'WHRN', 'PCDH20', 'MEIS3', 'GNG13', 'NELL1', 'CBLN3']",0.9999940846859435,0,0
7,DORSAL STRIATUM,0.9806294479126021,0.753621974847846,0.014741312856246074,"['ALK', 'CNTNAP3', 'RYR1', 'HPSE2', 'TENM4', 'NCAN', 'HTR2C', 'MLC1', 'GRIK4', 'GRIK1', 'CALB2', 'CICP3', 'KRT8P15', 'GRM7', 'GNRHR', 'ENPP7P10', 'PAMR1', 'GALNT8', 'PRKCG', 'SLC32A1', 'DCC', 'GPR37L1', 'MN1', 'GPRC5B', 'KRT8P26', 'PCP4', 'ADGRB1', 'MKRN5P', 'ACSBG1', 'LETM1P2', 'CRB2', 'GRIA1', 'KHDRBS2', 'PDE1B', 'LYPD1', 'CTXND1', 'SLC1A3', 'DNAH9', 'CCDC144A', 'SLITRK1', 'CNR1', 'DCDC2B', 'RPRML', 'FAM43B', 'CACNG3', 'NTSR2', 'KCNJ10', 'TCEA1P3', 'ANKRD24', 'PCDH20', 'NELL1', 'CACHD1', 'TMEM183AP1']",0.9999940846859435,0,0
8,PREFRONTAL CORTEX,0.9863799806333184,0.7376490517595056,0.010115840796967073,"['SEMA5B', 'PPP1R17', 'TENM4', 'NCAN', 'GRIK4', 'GRIK1', 'SLC7A10', 'HAPLN4', 'CALB2', 'SOX1', 'GRM7', 'GALNT8', 'PRKCG', 'SLC32A1', 'DCC', 'HUNK', 'GPR37L1', 'ETV5', 'MN1', 'GPRC5B', 'PCP4', 'CATSPERG', 'ADGRB1', 'ELMO1', 'DCX', 'ACSBG1', 'TRIB2', 'GRIA1', 'KHDRBS2', 'SDC3', 'LYPD1', 'CTXND1', 'SLC1A3', 'LYPD5', 'CES5A', 'CCDC144A', 'ARL17B', 'GNG4', 'SLITRK1', 'CNR1', 'RPRML', 'CACNG3', 'NTSR2', 'COL28A1', 'CCDC177', 'KCNJ10', 'ST8SIA2', 'MEIS3', 'GNG13', 'NELL1', 'PNPLA5', 'NEUROG2']",0.9999940846859435,0,0
9,CINGULATE GYRUS,0.9906120510387183,0.72175032493656,0.006807760904715422,"['CHRM2', 'ALK', 'CNTNAP3', 'RYR1', 'SEMA5B', 'HPSE2', 'NCAN', 'HTR2C', 'MLC1', 'GRIK4', 'GRIK1', 'SLC7A10', 'HAPLN4', 'MYOM2', 'CALB2', 'KRT8P15', 'SOX1', 'GRM7', 'SOSTDC1', 'PAMR1', 'PRKCG', 'UBE2MP1', 'SLC32A1', 'DCC', 'GPR37L1', 'GPRC5B', 'PCP4', 'ADGRB1', 'MKRN5P', 'HNRNPKP4', 'ACSBG1', 'PLPP3', 'CRB2', 'GRIA1', 'KHDRBS2', 'PDE1B', 'SLC1A3', 'CPLX3', 'SLITRK1', 'CNR1', 'RPRML', 'FAM43B', 'CACNG3', 'NTSR2', 'CCDC177', 'KCNJ10', 'ANKRD24', 'PCDH20', 'GNG13', 'NELL1', 'CACHD1']",0.9999940846859435,0,0
10,CEREBRAL CORTEX,0.9936594997114478,0.7059253599610069,0.004490170001302177,"['RYR1', 'SEMA5B', 'HPSE2', 'TENM4', 'NCAN', 'HTR2C', 'MLC1', 'GRIK4', 'GRIK1', 'SLC7A10', 'HAPLN4', 'MYOM2', 'CALB2', 'SOX1', 'GRM7', 'LRRFIP1P1', 'GALNT8', 'PRKCG', 'SLC32A1', 'DCC', 'GPR37L1', 'GPRC5B', 'PCP4', 'ADGRB1', 'MKRN5P', 'ACSBG1', 'MPRIPP1', 'CRB2', 'GRIA1', 'KHDRBS2', 'LYPD1', 'CTXND1', 'SLC1A3', 'ASAP2', 'CCDC144A', 'CPLX3', 'SLITRK1', 'CNR1', 'RPRML', 'FAM43B', 'CACNG3', 'NTSR2', 'RPS12P26', 'CCDC177', 'KCNJ10', 'TCEA1P3', 'ZBTB16', 'PCDH20', 'POU6F2', 'NELL1']",0.9999940846859435,0,0
