rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,Brain - Caudate (Basal Ganglia) Female 50-59 Up,0.0007024111170867719,3.7276234567901234,27.066242937540167,"['CRB2', 'PCP4', 'PDE1B', 'NCAN', 'LYPD1', 'MLC1', 'SLC1A3', 'ACSBG1', 'GPR37L1', 'NTSR2']",0.27674998013218816,0,0
2,Brain - Caudate (Basal Ganglia) Female 60-69 Up,0.0026744233036123397,3.3120726760241492,19.620789773168696,"['CRB2', 'PCP4', 'PDE1B', 'LYPD1', 'MLC1', 'SLC1A3', 'ACSBG1', 'GPR37L1', 'NTSR2']",0.4493442347672084,0,0
3,Brain - Nucleus Accumbens (Basal Ganglia) Male 50-59 Up,0.009123740807456008,2.9068752820821424,13.653230953104217,"['PRKCG', 'KHDRBS2', 'SLC32A1', 'PDE1B', 'LYPD1', 'HTR2C', 'RPRML', 'NTSR2']",0.4493442347672084,0,0
4,Brain - Putamen (Basal Ganglia) Male 40-49 Up,0.009123740807456008,2.9068752820821424,13.653230953104217,"['PCP4', 'GPRC5B', 'KCNJ10', 'PDE1B', 'MLC1', 'SLC1A3', 'GPR37L1', 'NTSR2']",0.4493442347672084,0,0
5,Brain - Nucleus Accumbens (Basal Ganglia) Male 20-29 Up,0.009123740807456008,2.9068752820821424,13.653230953104217,"['PCP4', 'KHDRBS2', 'SOX1', 'SLC32A1', 'PDE1B', 'HTR2C', 'DNAH9', 'RPRML']",0.4493442347672084,0,0
6,Brain - Nucleus Accumbens (Basal Ganglia) Male 70-79 Up,0.009123740807456008,2.9068752820821424,13.653230953104217,"['PRKCG', 'PCP4', 'SLC32A1', 'PDE1B', 'LYPD1', 'HTR2C', 'RPRML', 'NTSR2']",0.4493442347672084,0,0
7,Brain - Nucleus Accumbens (Basal Ganglia) Female 40-49 Up,0.009123740807456008,2.9068752820821424,13.653230953104217,"['PRKCG', 'PCP4', 'SLC32A1', 'PDE1B', 'LYPD1', 'HTR2C', 'RPRML', 'NTSR2']",0.4493442347672084,0,0
8,Brain - Cortex Female 70-79 Up,0.009123740807456008,2.9068752820821424,13.653230953104217,"['CRB2', 'ANKRD24', 'NCAN', 'ADGRB1', 'POU6F2', 'MLC1', 'GPR37L1', 'GALNT8']",0.4493442347672084,0,0
9,Brain - Putamen (Basal Ganglia) Male 50-59 Up,0.027637571300204816,2.5116905305773765,9.013400276732982,"['PCP4', 'GPRC5B', 'KCNJ10', 'PDE1B', 'MLC1', 'RPRML', 'GPR37L1']",0.6805751932675436,0,0
10,Brain - Nucleus Accumbens (Basal Ganglia) Male 60-69 Up,0.027637571300204816,2.5116905305773765,9.013400276732982,"['PRKCG', 'PCP4', 'SLC32A1', 'LYPD1', 'HTR2C', 'RPRML', 'NTSR2']",0.6805751932675436,0,0
11,Brain - Nucleus Accumbens (Basal Ganglia) Female 60-69 Up,0.027637571300204816,2.5116905305773765,9.013400276732982,"['PRKCG', 'SLC32A1', 'LYPD1', 'MLC1', 'HTR2C', 'RPRML', 'NTSR2']",0.6805751932675436,0,0
12,Brain - Putamen (Basal Ganglia) Female 60-69 Up,0.027637571300204816,2.5116905305773765,9.013400276732982,"['PCP4', 'GPRC5B', 'KCNJ10', 'PDE1B', 'MLC1', 'GPR37L1', 'NTSR2']",0.6805751932675436,0,0
13,Brain - Caudate (Basal Ganglia) Female 40-49 Up,0.027637571300204816,2.5116905305773765,9.013400276732982,"['CRB2', 'PCP4', 'PDE1B', 'MLC1', 'DNAH9', 'GPR37L1', 'NTSR2']",0.6805751932675436,0,0
14,Brain - Cortex Male 20-29 Up,0.027637571300204816,2.5116905305773765,9.013400276732982,"['SEMA5B', 'NELL1', 'ANKRD24', 'SLITRK1', 'ADGRB1', 'CACNG3', 'GALNT8']",0.6805751932675436,0,0
15,Brain - Hippocampus Male 20-29 Up,0.027637571300204816,2.5116905305773765,9.013400276732982,"['PRKCG', 'GRIA1', 'SEMA5B', 'GRM7', 'PCDH20', 'ST8SIA2', 'GRIK1']",0.6805751932675436,0,0
16,Brain - Caudate (Basal Ganglia) Female 70-79 Up,0.027637571300204816,2.5116905305773765,9.013400276732982,"['CRB2', 'GPRC5B', 'PDE1B', 'MLC1', 'SLC1A3', 'ACSBG1', 'NTSR2']",0.6805751932675436,0,0
17,Brain - Cortex Female 60-69 Up,0.07356471183633885,2.1261922230374175,5.548489595420747,"['ANKRD24', 'NCAN', 'ADGRB1', 'HAPLN4', 'CACNG3', 'GALNT8']",0.9492703006278627,0,0
18,Brain - Cortex Male 40-49 Up,0.07356471183633885,2.1261922230374175,5.548489595420747,"['ANKRD24', 'SLITRK1', 'ADGRB1', 'HAPLN4', 'CACNG3', 'GALNT8']",0.9492703006278627,0,0
19,Brain - Frontal Cortex (BA9) Male 60-69 Up,0.07356471183633885,2.1261922230374175,5.548489595420747,"['NELL1', 'ANKRD24', 'SLITRK1', 'POU6F2', 'HAPLN4', 'GALNT8']",0.9492703006278627,0,0
20,Brain - Amygdala Male 50-59 Up,0.07356471183633885,2.1261922230374175,5.548489595420747,"['SOX1', 'NCAN', 'MLC1', 'TMEM160', 'MEIS3', 'NTSR2']",0.9492703006278627,0,0
21,Brain - Frontal Cortex (BA9) Female 50-59 Up,0.07356471183633885,2.1261922230374175,5.548489595420747,"['NELL1', 'ANKRD24', 'SLITRK1', 'POU6F2', 'CACNG3', 'GALNT8']",0.9492703006278627,0,0
22,Brain - Hypothalamus Male 70-79 Up,0.07356471183633885,2.1261922230374175,5.548489595420747,"['CALB2', 'PPP1R17', 'SOX1', 'GRM7', 'GNG4', 'GRIK1']",0.9492703006278627,0,0
23,Vagina Female 60-69 Up,0.0772437794588426,2.609392898052692,6.682104346243121,"['BMP4', 'HPSE2', 'SPINK6', 'HCG22']",0.9492703006278627,0,0
24,Brain - Caudate (Basal Ganglia) Male 50-59 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['PCP4', 'PDE1B', 'MLC1', 'RPRML', 'NTSR2']",0.9492703006278627,0,0
25,Brain - Cortex Male 50-59 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['ANKRD24', 'ADGRB1', 'HAPLN4', 'CACNG3', 'GALNT8']",0.9492703006278627,0,0
26,Brain - Nucleus Accumbens (Basal Ganglia) Male 40-49 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['SLC32A1', 'LYPD1', 'HTR2C', 'RPRML', 'NTSR2']",0.9492703006278627,0,0
27,Brain - Cerebellum Male 40-49 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['PPP1R17', 'COL27A1', 'ZP2', 'CBLN3', 'GNG13']",0.9492703006278627,0,0
28,Brain - Caudate (Basal Ganglia) Male 60-69 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['PCP4', 'PDE1B', 'MLC1', 'GPR37L1', 'NTSR2']",0.9492703006278627,0,0
29,Brain - Putamen (Basal Ganglia) Male 60-69 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['PCP4', 'GPRC5B', 'PDE1B', 'MLC1', 'RPRML']",0.9492703006278627,0,0
30,Ovary Female 20-29 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['TENM4', 'DAPK1', 'TRIB2', 'RHBG', 'GLI2']",0.9492703006278627,0,0
31,Brain - Anterior Cingulate Cortex (BA24) Female 60-69 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['NCAN', 'ADGRB1', 'MLC1', 'SLC1A3', 'MEIS3']",0.9492703006278627,0,0
32,Brain - Cerebellum Male 30-39 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['PPP1R17', 'COL27A1', 'RAB37', 'ZP2', 'GNG13']",0.9492703006278627,0,0
33,Brain - Amygdala Female 50-59 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['CRB2', 'MLC1', 'SLC1A3', 'GPR37L1', 'NTSR2']",0.9492703006278627,0,0
34,Brain - Cerebellum Male 20-29 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['PPP1R17', 'RAB37', 'CBLN3', 'DHDDS', 'GNG13']",0.9492703006278627,0,0
35,Brain - Frontal Cortex (BA9) Male 70-79 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['NELL1', 'ANKRD24', 'SLITRK1', 'POU6F2', 'HAPLN4']",0.9492703006278627,0,0
36,Brain - Hippocampus Male 70-79 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['PRKCG', 'GRIA1', 'CRB2', 'GPRC5B', 'DNAH9']",0.9492703006278627,0,0
37,Brain - Cortex Male 70-79 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['ANKRD24', 'ADGRB1', 'POU6F2', 'HAPLN4', 'GALNT8']",0.9492703006278627,0,0
38,Brain - Nucleus Accumbens (Basal Ganglia) Female 50-59 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['PRKCG', 'KHDRBS2', 'SLC32A1', 'HTR2C', 'RPRML']",0.9492703006278627,0,0
39,Brain - Cortex Female 50-59 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['ANKRD24', 'ADGRB1', 'HAPLN4', 'CACNG3', 'GALNT8']",0.9492703006278627,0,0
40,Brain - Hypothalamus Male 40-49 Up,0.17002062885216104,1.750067940936679,3.1008325105966774,"['CALB2', 'SOX1', 'GRM7', 'GNG4', 'GRIK1']",0.9492703006278627,0,0
