rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,NEURONAL EPITHELIUM,0.9999879765130134,0.5322208781404222,6.3991892726743455e-06,"['OPRD1', 'NOTCH3', 'IDI1', 'NXN', 'ZNF518B', 'HP1BP3', 'PLOD2', 'NR2E1', 'CLU', 'BICD1', 'MIPOL1', 'FAM221A', 'BLOC1S6', 'EPB41L4A', 'SGPL1', 'ADAMTS3', 'PATE4', 'INPP5F', 'SGCB', 'PLCE1', 'ZNF426', 'CEP95', 'CLSPN', 'ARID2', 'CEP78', 'CCDC160', 'ZNF561', 'EPHA7', 'IAH1', 'ZNF680', 'AADAT', 'IDH1', 'MBOAT2', 'PROX1', 'SMAD5', 'WDR76', 'CENPF', 'SLC22A25', 'DBF4', 'XPNPEP3', 'AGO1', 'CACUL1', 'SRSF7']",0.9999939180442535,0,0
2,HEPATOCYTE,0.9999935882703909,0.47859725843074596,3.068646050406052e-06,"['MT-TP', 'TOB2P1', 'ADH1A', 'AQP8', 'EBI3', 'SLC43A1', 'GSTT2', 'CLU', 'MRPL41', 'EFNB1', 'COMTD1', 'CYP2F2P', 'CREB3L3', 'SOX17', 'TSPAN9', 'MTND4P19', 'PMVK', 'CLDN23', 'RHO', 'ZBTB7B', 'TGM3', 'KLHL29', 'RING1', 'DAB2IP', 'GLMP', 'ACSL5', 'SCRIB', 'HNF1B', 'PROX1', 'ZDHHC11', 'ALOX15B', 'GULOP', 'SLC22A25', 'PC', 'ELF3', 'SLCO2A1', 'CYP2E1', 'HPD', 'TRIM10']",0.9999939180442535,0,0
3,ILEUM (BULK),0.9999939062675406,0.42586869972163116,2.5951378259868004e-06,"['MT-TP', 'ADH1A', 'EBI3', 'TMPRSS4', 'FOXO4', 'IFI30', 'CORO1B', 'EFNB1', 'COMTD1', 'IGLV3-9', 'CREB3L3', 'SOX17', 'IGLV3-21', 'MTND4P19', 'CLDN23', 'IGLV2-18', 'CCR7', 'ZBTB7B', 'MNX1', 'BORCS6', 'GBP3', 'IL13RA1', 'GP2', 'DAB2IP', 'ACSL5', 'HNF1B', 'HLA-G', 'ACTA2', 'RBP2', 'ELF3', 'POU2AF1', 'SLCO2A1', 'ITGA8', 'PRR15', 'TRIM10']",0.9999939180442535,0,0
4,COLON (BULK TISSUE),0.9999939132922852,0.412824248494713,2.512748185378502e-06,"['AQP8', 'EBI3', 'TMPRSS4', 'KLK3', 'FOXO4', 'TMEM164', 'CORO1B', 'EFNB1', 'COMTD1', 'IGLV3-9', 'CREB3L3', 'SOX17', 'IGLV3-21', 'TSPAN9', 'CLDN23', 'IGLV2-18', 'ZBTB7B', 'MNX1', 'TGM3', 'GBP3', 'IL13RA1', 'DAB2IP', 'ACSL5', 'SCRIB', 'HNF1B', 'ACTA2', 'ELF3', 'POU2AF1', 'SLCO2A1', 'ITGA8', 'PRR15', 'CCDC60', 'TRIM10', 'PDZRN3']",0.9999939180442535,0,0
5,GRANULOSA CELL,0.9999939132922852,0.412824248494713,2.512748185378502e-06,"['MT-TP', 'PPP1R15B', 'TOB2P1', 'ACSM3', 'AQP8', 'ACCSL', 'UBR3', 'COL6A4P2', 'KLK3', 'FOXO4', 'DUSP15', 'SAMHD1', 'TMEM164', 'FADS2', 'EFNB1', 'ADAMTS3', 'CYP2F2P', 'CREB3L3', 'PPP1R13L', 'ZBTB7B', 'TGM3', 'PPTC7', 'GADD45A', 'MMD', 'DAB2IP', 'SCRIB', 'PROX1', 'ALOX15B', 'MEX3B', 'LATS2', 'PC', 'SLCO2A1', 'PRR15', 'IKBKGP1']",0.9999939180442535,0,0
6,LIVER (BULK TISSUE),0.9999939132922852,0.412824248494713,2.512748185378502e-06,"['MT-TP', 'ACSM3', 'ADH1A', 'ZFAND2A', 'SLC43A1', 'ARL1', 'PLOD2', 'CLU', 'CYP17A1', 'RPL7AP34', 'CREB3L3', 'SOX17', 'TSPAN9', 'MTND4P19', 'CEP95', 'IL13RA1', 'SEC63', 'HSPA5', 'AADAT', 'GADD45A', 'TPM2', 'IDH1', 'HNF1B', 'PROX1', 'ELL2', 'GULOP', 'SLC22A25', 'LATS2', 'PC', 'ELF3', 'SLCO2A1', 'CYP2E1', 'HPD', 'TRIM10']",0.9999939180442535,0,0
7,OMENTUM,0.9999939132922852,0.412824248494713,2.512748185378502e-06,"['NOTCH3', 'ITGB3', 'ADH1A', 'EBI3', 'COL6A4P2', 'FOXO4', 'EFNB1', 'IGLV3-9', 'ADAMTS3', 'SOX17', 'IGLV3-21', 'TSPAN9', 'CLDN23', 'IGLV2-18', 'ZBTB7B', 'IL13RA1', 'KLHL29', 'GADD45A', 'MMD', 'TPM2', 'DAB2IP', 'VEGFB', 'PDCD1LG2', 'ALOX15B', 'ACTA2', 'LATS2', 'PC', 'SLCO2A1', 'CLPSL1', 'ITGA8', 'PRR15', 'HOXB2', 'ANGPTL5', 'PDZRN3']",0.9999939180442535,0,0
8,PANCREATIC ISLET,0.9999939132922852,0.412824248494713,2.512748185378502e-06,"['OPRD1', 'NDUFB9', 'RNASEK', 'MTCO1P40', 'TMPRSS4', 'GOSR1', 'ARL1', 'C2CD4A', 'PLOD2', 'CLU', 'MIPOL1', 'CYP17A1', 'PRDX3', 'FAM221A', 'BLOC1S6', 'EPB41L4A', 'CNNM1', 'SGCB', 'PLCE1', 'ZNF426', 'TMEM208', 'SEC62', 'MNX1', 'IAH1', 'BMS1P16', 'GP2', 'ABHD18', 'HNF1B', 'PROX1', 'ELL2', 'ELF3', 'XPNPEP3', 'CACUL1', 'SLC25A33']",0.9999939180442535,0,0
9,PODOCYTE,0.9999939132922852,0.412824248494713,2.512748185378502e-06,"['TOB2P1', 'NXN', 'ITGB3', 'EBI3', 'GSTT2', 'PLOD2', 'EFNB1', 'COMTD1', 'ADAMTS3', 'SOX17', 'PPP1R13L', 'TSPAN9', 'CLDN23', 'ZBTB7B', 'MNX1', 'KLHL29', 'FZD2', 'AADAT', 'GADD45A', 'TPM2', 'DAB2IP', 'LCA5', 'SCRIB', 'HNF1B', 'PDCD1LG2', 'TEX38', 'ACTA2', 'LATS2', 'ELF3', 'PSG7', 'SLCO2A1', 'HOXB2', 'IKBKGP1', 'HPD']",0.9999939180442535,0,0
10,VALVE,0.9999939161862547,0.3998343048577641,2.4325248392732393e-06,"['NOTCH3', 'ITGB3', 'EBI3', 'GSTT2', 'COL6A4P2', 'FOXO4', 'DUSP15', 'CLU', 'EFNB1', 'CYP2F2P', 'SOX17', 'IGLV3-21', 'TSPAN9', 'CLDN23', 'ZBTB7B', 'BORCS6', 'C4BPAP2', 'KLHL29', 'FZD2', 'RING1', 'TPM2', 'DAB2IP', 'VEGFB', 'PDCD1LG2', 'ACTA2', 'MFRP', 'SLCO2A1', 'ITGA8', 'PRR15', 'HOXB2', 'ANGPTL5', 'HPD', 'PDZRN3']",0.9999939180442535,0,0
11,BLOOD DENDRITIC CELLS,0.9999939173409645,0.3868985881806177,2.3533793506112233e-06,"['ITSN2', 'RPL23AP57', 'RNASEK', 'MTCO1P40', 'ACCSL', 'IFI30', 'SAMHD1', 'WDR87', 'MIPOL1', 'PRDX3', 'BLOC1S6', 'FTH1', 'MYL6P1', 'CCT8', 'RPS27A', 'IL13RA1', 'RPL7P37', 'C4BPAP2', 'SRGN', 'IAH1', 'RPS7', 'DLEC1', 'FOXN2', 'PTBP3', 'PSMA6', 'EIF3K', 'ABI1', 'CYP2E1', 'DOCK2', 'SRSF7', 'ATP6V1E1P1', 'MYO1F']",0.9999939180442535,0,0
