rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,JcPV part of the periaqueductal gray,0.2754426988711765,1.2405332407718759,1.5995133680574098,"['PHLPP2', 'ATE1', 'COMTD1', 'RASSF1', 'ADAMTS3', 'NHLRC3', 'INPP5F', 'CSTF2', 'PDCD1LG2', 'ZBTB7B', 'TRIM10', 'CCDC60']",0.9999953501696646,0,0
2,Paraventricular hypothalamic nucleus,0.2754426988711765,1.2405332407718759,1.5995133680574098,"['OPRD1', 'FADS2', 'ATE1', 'RING1', 'HSPA5', 'ITGB3', 'NAPEPLD', 'LCA5', 'INTS8', 'CLU', 'SMAD5', 'RPS12']",0.9999953501696646,0,0
3,PcPL part of the periaqueductal gray,0.2754426988711765,1.2405332407718759,1.5995133680574098,"['FADS2', 'ATE1', 'RASSF1', 'YWHAQ', 'LCA5', 'DLEC1', 'PDCD1LG2', 'ZBTB7B', 'HIPK1', 'INTS8', 'CCDC60', 'C2ORF81']",0.9999953501696646,0,0
4,periventricular stratum of JcPL,0.2754426988711765,1.2405332407718759,1.5995133680574098,"['FADS2', 'ATE1', 'RASSF1', 'NHLRC3', 'YWHAQ', 'LCA5', 'DLEC1', 'ZBTB7B', 'HIPK1', 'CLU', 'CCDC60', 'C2ORF81']",0.9999953501696646,0,0
5,periventricular stratum of JcPV,0.2754426988711765,1.2405332407718759,1.5995133680574098,"['PHLPP2', 'ATE1', 'COMTD1', 'RASSF1', 'ADAMTS3', 'NHLRC3', 'INPP5F', 'CSTF2', 'PDCD1LG2', 'ZBTB7B', 'TRIM10', 'CCDC60']",0.9999953501696646,0,0
6,periventricular stratum of PcPL,0.2754426988711765,1.2405332407718759,1.5995133680574098,"['FADS2', 'ATE1', 'RASSF1', 'YWHAQ', 'LCA5', 'DLEC1', 'PDCD1LG2', 'ZBTB7B', 'HIPK1', 'INTS8', 'CCDC60', 'C2ORF81']",0.9999953501696646,0,0
7,CoPV part of the periaqueductal gray,0.38906151513263315,1.1314014354325186,1.0680631067540391,"['PHLPP2', 'FADS2', 'ATE1', 'COMTD1', 'RASSF1', 'ADAMTS3', 'INPP5F', 'CSTF2', 'PMVK', 'ZBTB7B', 'CCDC60']",0.9999953501696646,0,0
8,JcPL part of the periaqueductal gray,0.38906151513263315,1.1314014354325186,1.0680631067540391,"['FADS2', 'ATE1', 'RASSF1', 'NHLRC3', 'YWHAQ', 'LCA5', 'DLEC1', 'ZBTB7B', 'HIPK1', 'CCDC60', 'C2ORF81']",0.9999953501696646,0,0
9,"Paraventricular hypothalamic nucleus, parvicellular division",0.38906151513263315,1.1314014354325186,1.0680631067540391,"['OPRD1', 'FADS2', 'ATE1', 'RING1', 'HSPA5', 'ITGB3', 'NAPEPLD', 'LCA5', 'INTS8', 'SMAD5', 'RPS12']",0.9999953501696646,0,0
10,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",0.38906151513263315,1.1314014354325186,1.0680631067540391,"['OPRD1', 'FADS2', 'ATE1', 'RING1', 'HSPA5', 'ITGB3', 'LCA5', 'ELP2', 'INTS8', 'SMAD5', 'RPS12']",0.9999953501696646,0,0
