rank,term,pvalue,zscore,combined_score,genes,adj_pvalue,old_pvalue,old_adj_pvalue
1,Pancreas Male 60-69 Up,0.2257177622670555,1.5711954304365565,2.3386771047291197,"['AQP8', 'SLC43A1', 'CLPSL1', 'GP2', 'MNX1']",0.9635668670921558,0,0
2,Pancreas Female 60-69 Up,0.2257177622670555,1.5711954304365565,2.3386771047291197,"['AQP8', 'SLC43A1', 'CLPSL1', 'GP2', 'MNX1']",0.9635668670921558,0,0
3,Pancreas Female 50-59 Up,0.2257177622670555,1.5711954304365565,2.3386771047291197,"['AQP8', 'SLC43A1', 'CLPSL1', 'GP2', 'MNX1']",0.9635668670921558,0,0
4,Pancreas Female 40-49 Up,0.2257177622670555,1.5711954304365565,2.3386771047291197,"['AQP8', 'SLC43A1', 'CLPSL1', 'GP2', 'MNX1']",0.9635668670921558,0,0
5,Pancreas Female 30-39 Up,0.2257177622670555,1.5711954304365565,2.3386771047291197,"['AQP8', 'SLC43A1', 'CLPSL1', 'GP2', 'MNX1']",0.9635668670921558,0,0
6,Pancreas Male 50-59 Up,0.40961890398631506,1.24187306501548,1.1084065500475442,"['AQP8', 'SLC43A1', 'GP2', 'MNX1']",0.9635668670921558,0,0
7,Whole Blood Female 50-59 Up,0.40961890398631506,1.24187306501548,1.1084065500475442,"['SRGN', 'GRK6', 'ADIPOR1', 'MYO1F']",0.9635668670921558,0,0
8,Pancreas Male 30-39 Up,0.40961890398631506,1.24187306501548,1.1084065500475442,"['SLC43A1', 'CLPSL1', 'GP2', 'MNX1']",0.9635668670921558,0,0
9,Pancreas Male 40-49 Up,0.40961890398631506,1.24187306501548,1.1084065500475442,"['AQP8', 'SLC43A1', 'GP2', 'MNX1']",0.9635668670921558,0,0
10,Adrenal Gland Female 30-39 Up,0.40961890398631506,1.24187306501548,1.1084065500475442,"['PRDX3', 'FADS2', 'IDH1', 'CYP17A1']",0.9635668670921558,0,0
11,Pancreas Female 20-29 Up,0.40961890398631506,1.24187306501548,1.1084065500475442,"['AQP8', 'SLC43A1', 'GP2', 'MNX1']",0.9635668670921558,0,0
12,Esophagus - Mucosa Female 70-79 Up,0.40961890398631506,1.24187306501548,1.1084065500475442,"['GBP6', 'COMTD1', 'TMPRSS4', 'TGM3']",0.9635668670921558,0,0
13,Pancreas Male 70-79 Up,0.40961890398631506,1.24187306501548,1.1084065500475442,"['COMTD1', 'SLC43A1', 'GP2', 'MNX1']",0.9635668670921558,0,0
14,Breast - Mammary Tissue Male 40-49 Up,0.6287374354419274,0.9448853615520282,0.43846605939452343,"['ADAMTS3', 'SOX17']",0.9635668670921558,0,0
15,Esophagus - Mucosa Male 50-59 Up,0.6352970494304226,0.9203301518507305,0.4175193650304831,"['GBP6', 'TMPRSS4', 'TGM3']",0.9635668670921558,0,0
