list,library,n_genes,top_term,top_term_adj_p,brain_term,brain_term_rank,brain_term_adj_p,brain_term_odds_ratio
POS,GTEx_Tissues_V8_2023,70,Breast - Mammary Tissue Female 30-39 Up,0.29635787620352466,Brain - Hippocampus Female 40-49 Up,4.0,0.29635787620352466,18.075399411278084
POS,ARCHS4_Tissues,70,BRAIN (BULK),0.5902740822390509,BRAIN (BULK),1.0,0.5902740822390509,11.810106221868162
POS,Human_Gene_Atlas,70,PrefrontalCortex,0.020228687481781766,PrefrontalCortex,1.0,0.020228687481781766,37.531685674312165
POS,Jensen_TISSUES,70,Tibia,5.340329461275913e-05,Hippocampus,18.0,0.011530509240463935,17.383492864701907
POS,Allen_Brain_Atlas_up,70,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",0.16045838838533424,Dorsomedial nucleus of the hypothalamus,9.0,0.2527132771431232,28.083443393771734
TOL,GTEx_Tissues_V8_2023,677,Brain - Amygdala Female 60-69 Up,3.4742865856986226e-07,Brain - Amygdala Female 60-69 Up,1.0,3.4742865856986226e-07,142.78410660898263
TOL,ARCHS4_Tissues,677,SPERM,4.794704632304223e-08,DORSAL STRIATUM,39.0,0.9999938521673628,2.0665100928835394e-05
TOL,Human_Gene_Atlas,677,Salivarygland,0.9999957224357003,Hypothalamus,15.0,0.9999957224357003,0.10110690851543443
TOL,Jensen_TISSUES,677,Synovial sarcoma cell,0.08255414122588846,Motor cortex,23.0,0.9522884211663094,18.87327627116092
TOL,Allen_Brain_Atlas_up,677,r8 part of inferior olive,0.9999960095075623,Intercalated amygdalar nucleus,16.0,0.9999960095075623,0.1703928984596416
ceiling,GTEx_Tissues_V8_2023,586,Brain - Caudate (Basal Ganglia) Female 50-59 Up,0.27674998013218816,Brain - Caudate (Basal Ganglia) Female 50-59 Up,1.0,0.27674998013218816,27.066242937540167
ceiling,ARCHS4_Tissues,586,FETAL BRAIN,0.9999940846859435,FETAL BRAIN,1.0,0.9999940846859435,0.5632268466212704
ceiling,Human_Gene_Atlas,586,Caudatenucleus,0.9999960262244628,Thalamus,2.0,0.9999960262244628,1.1698410286237089
ceiling,Jensen_TISSUES,586,Perineuronal net,0.9999960296089871,Perineuronal net,1.0,0.9999960296089871,44.83645415114186
ceiling,Allen_Brain_Atlas_up,586,"Entorhinal area, medial part, dorsal zone, layer 1",0.9999883246157688,mesomere 2 (preisthmus or caudal midbrain),16.0,0.9999883246157688,1.0794976812621528
non_ceiling,GTEx_Tissues_V8_2023,650,Pancreas Male 60-69 Up,0.9635668670921558,,,,
non_ceiling,ARCHS4_Tissues,650,NEURONAL EPITHELIUM,0.9999939180442535,NEURONAL EPITHELIUM,1.0,0.9999939180442535,6.3991892726743455e-06
non_ceiling,Human_Gene_Atlas,650,Pons,0.9999956194728857,Pons,1.0,0.9999956194728857,3.629019085420813
non_ceiling,Jensen_TISSUES,650,Ejaculatory duct,0.9999938167964801,Thymic medulla,14.0,0.9999938167964801,14.024914797850071
non_ceiling,Allen_Brain_Atlas_up,650,JcPV part of the periaqueductal gray,0.9999953501696646,Hippocampal region,33.0,0.9999953501696646,0.39870510234034207
